title.year,actor,rank,high,med,low,title.year,actor,rank,high,med,low,title.year,actor,rank,high,med,low,title.year,actor,rank,high,med,low,title.year,actor,rank,high,med,low,title.year,actor,rank,high,med,low
2014,Dylan O'Brien,1,1,0,0,2014,Aml Ameen,2,1,0,0,2014,Ki Hong Lee,3,1,0,0,2014,Blake Cooper,4,1,0,0,2014,Thomas Brodie-Sangster,5,1,0,0,2014,Will Poulter,6,1,0,0
2016,Shailene Woodley,1,1,0,0,2016,Theo James,2,1,0,0,2016,ZoÌÇ Kravitz,3,1,0,0,2016,Miles Teller,4,1,0,0,2016,Naomi Watts,5,1,0,0,2016,Ansel Elgort,6,1,0,0
2016,Patrick Wilson,1,1,0,0,2016,Vera Farmiga,2,1,0,0,2016,Madison Wolfe,3,1,0,0,2016,Frances O'Connor,4,1,0,0,2016,Simon McBurney,5,1,0,0,2016,Maria Doyle Kennedy,6,1,0,0
2015,Adam Sandler,1,1,0,0,2015,Michelle Monaghan,2,1,0,0,2015,Peter Dinklage,3,1,0,0,2015,Josh Gad,4,1,0,0,2015,Kevin James,5,1,0,0,2015,Ashley Benson,6,1,0,0
2015,Alexandra Daddario,1,1,0,0,2015,Dwayne Johnson,2,1,0,0,2015,Carla Gugino,3,1,0,0,2015,Archie Panjabi,4,1,0,0,2015,Hugo Johnstone-Burt,5,1,0,0,2015,Art Parkinson,6,1,0,0
2016,Matt Damon,1,1,0,0,2016,Tommy Lee Jones,2,1,0,0,2016,Alicia Vikander,3,1,0,0,2016,Vincent Cassel,4,1,0,0,2016,Julia Stiles,5,1,0,0,2016,Riz Ahmed,6,1,0,0
2013,Jesse Eisenberg,1,1,0,0,2013,Mark Ruffalo,2,1,0,0,2013,Woody Harrelson,3,1,0,0,2013,MÌ©lanie Laurent,4,1,0,0,2013,Isla Fisher,5,1,0,0,2013,Dave Franco,6,1,0,0
2016,Matthew McConaughey,1,1,0,0,2016,Gugu Mbatha-Raw,2,1,0,0,2016,Mahershala Ali,3,1,0,0,2016,Keri Russell,4,1,0,0,2016,Jacob Lofland,5,1,0,0,2016,Sean Bridgers,6,1,0,0
2015,Sharlto Copley,1.5,0,1,0,2015,Haley Bennett,3,0,1,0,2015,Danila Kozlovskiy,4.5,0,1,0,2015,Tim Roth,6,0,1,0,2015,Andrei Dementiev,7.5,0,1,0,2015,Cyrus Arnold,9,0,1,0
2015,Leonardo DiCaprio,1,1,0,0,2015,Tom Hardy,2,1,0,0,2015,Will Poulter,3,1,0,0,2015,Domhnall Gleeson,4,1,0,0,2015,Paul Anderson,5,1,0,0,2015,Brad Carter,6,1,0,0
2007,Valerja Nemchenko,1.5,0,1,0,2007,Vladimir Sorokin,3,0,1,0,2007,Marina Zasimova,4.5,0,1,0,2007,Natalia Belova,6,0,1,0,2007,Armen Oganezov,7.5,0,1,0,2007,Diana Sosnova,9,0,1,0
2014,Martin Freeman,1,1,0,0,2014,Ian McKellen,2,1,0,0,2014,Richard Armitage,3,1,0,0,2014,Ken Stott,4,1,0,0,2014,Graham McTavish,5,1,0,0,2014,William Kircher,6,1,0,0
2015,Jennifer Lawrence,1,1,0,0,2015,Josh Hutcherson,2,1,0,0,2015,Liam Hemsworth,3,1,0,0,2015,Woody Harrelson,4,1,0,0,2015,Elizabeth Banks,5,1,0,0,2015,Julianne Moore,6,1,0,0
2015,Daniel Craig,1,1,0,0,2015,Christoph Waltz,2,1,0,0,2015,LÌ©a Seydoux,3,1,0,0,2015,Ralph Fiennes,4,1,0,0,2015,Monica Bellucci,5,1,0,0,2015,Ben Whishaw,6,1,0,0
2015,Britt Robertson,1,1,0,0,2015,George Clooney,2,1,0,0,2015,Raffey Cassidy,3,1,0,0,2015,Thomas Robinson,4,1,0,0,2015,Hugh Laurie,5,1,0,0,2015,Kathryn Hahn,6,1,0,0
2014,Scott Adsit,1,1,0,0,2014,Ryan Potter,2,1,0,0,2014,Daniel Henney,3,1,0,0,2014,T.J. Miller,4,1,0,0,2014,Jamie Chung,5,1,0,0,2014,Damon Wayans Jr.,6,1,0,0
2015,Jake Gyllenhaal,1.5,0,1,0,2015,Rachel McAdams,3,0,1,0,2015,Forest Whitaker,4.5,0,1,0,2015,Oona Laurence,6,0,1,0,2015,50 Cent,7.5,0,1,0,2015,Skylan Brooks,9,0,1,0
2015,Dylan O'Brien,1,1,0,0,2015,Kaya Scodelario,2,1,0,0,2015,Thomas Brodie-Sangster,3,1,0,0,2015,Giancarlo Esposito,4,1,0,0,2015,Aidan Gillen,5,1,0,0,2015,Barry Pepper,6,1,0,0
2015,Paul Rudd,1,1,0,0,2015,Michael Douglas,2,1,0,0,2015,Evangeline Lilly,3,1,0,0,2015,Corey Stoll,4,1,0,0,2015,Bobby Cannavale,5,1,0,0,2015,Anthony Mackie,6,1,0,0
2016,Jesse Eisenberg,1.5,0,1,0,2016,Kristen Stewart,3,0,1,0,2016,Blake Lively,4.5,0,1,0,2016,Steve Carell,6,0,1,0,2016,Parker Posey,7.5,0,1,0,2016,Corey Stoll,9,0,1,0
2010,Leonardo DiCaprio,1,1,0,0,2010,Joseph Gordon-Levitt,2,1,0,0,2010,Ellen Page,3,1,0,0,2010,Tom Hardy,4,1,0,0,2010,Ken Watanabe,5,1,0,0,2010,Cillian Murphy,6,1,0,0
2008,Christian Bale,1,1,0,0,2008,Heath Ledger,2,1,0,0,2008,Aaron Eckhart,3,1,0,0,2008,Michael Caine,4,1,0,0,2008,Maggie Gyllenhaal,5,1,0,0,2008,Gary Oldman,6,1,0,0
2014,Brad Pitt,1,1,0,0,2014,Shia LaBeouf,2,1,0,0,2014,Logan Lerman,3,1,0,0,2014,Michael PeÌ±a,4,1,0,0,2014,Jon Bernthal,5,1,0,0,2014,Jim Parrack,6,1,0,0
2016,Chris Pratt,1.5,0,1,0,2016,Denzel Washington,3,0,1,0,2016,Matt Bomer,4.5,0,1,0,2016,Ethan Hawke,6,0,1,0,2016,Vincent D'Onofrio,7.5,0,1,0,2016,Lee Byung-hun,9,0,1,0
2005,Gry Bay,1.5,0,1,0,2005,Adrian Bouchet,3,0,1,0,2005,Eileen Daly,4.5,0,1,0,2005,Thomas Raft,6,0,1,0,2005,Ovidie,7.5,0,1,0,2005,Thomas Lundy,9,0,1,0
2016,Liam Hemsworth,1,1,0,0,2016,Jeff Goldblum,2,1,0,0,2016,Bill Pullman,3,1,0,0,2016,Maika Monroe,4,1,0,0,2016,Sela Ward,5,1,0,0,2016,William Fichtner,6,1,0,0
2016,Alexander SkarsgÌ´rd,1,1,0,0,2016,Margot Robbie,2,1,0,0,2016,Christoph Waltz,3,1,0,0,2016,Samuel L. Jackson,4,1,0,0,2016,Djimon Hounsou,5,1,0,0,2016,Simon Russell Beale,6,1,0,0
