studio,genres,num_voted_users,num_user_for_reviews,imdb_score,aspect_ratio,movie_facebook_likes,Type,Year,Runtime,Budget,budget.diff,Revenue.diff,Actor1,Actor2,Actor3,Actor4,Actor5,Actor6
Fox,Action,514125,752,8,2.35,82000,PG13,2014,131,250000000,208357932.4,610596205.2,2,2,2,2,2,2
LGF,Adventure,498397,706,7.6,2.35,82000,PG13,2013,146,130000000,85795466.71,720827913.4,2,2,2,2,2,2
Sony,Action,229574,436,7.2,2.35,56000,R,2014,132,55000000,13357932.39,56926943.2,2,3,3,4,4,2
Uni.,Comedy,117739,229,6.4,2.35,30000,R,2015,115,68000000,25822828.3,62987950.3,2,2,2,4,2,2
Uni.,Action,327367,918,6.4,2.35,83000,R,2014,89,40000000,-1642067.61,327956268.2,2,2,2,2,2,3
BV,Adventure,345198,773,8.3,1.85,118000,PG,2015,94,175000000,132822828.3,704552055.3,2,3,4,2,4,4
NL,Action,1238746,5060,8.8,2.35,21000,PG13,2001,178,93000000,50363337.62,762927600.6,2,2,2,4,4,4
TriS,Crime,19611,103,6.7,2.35,0,R,2016,98,27000000,-31895023.74,-148115287.6,2,2,2,4,5,5
Wein.,Crime,272839,1018,7.9,2.76,114000,R,2015,167,44000000,1822828.3,2884461.3,2,2,2,2,3,2
WB,Action,76010,205,6.6,2.35,15000,R,2015,114,50000000,7822828.3,-81314011.7,2,2,2,3,2,3
SPC,Drama,399138,731,8.5,2.4,129000,R,2014,105,3300000,-38342067.61,-121410702.8,2,2,3,2,3,3
Fox,Action,64322,145,7.2,2.35,24000,PG,2016,95,145000000,86104976.26,330757535.4,2,2,2,2,2,1
ORF,Action,32567,106,6.3,2.35,0,R,2016,115,28000000,-30895023.74,-176484522.6,2,3,2,2,5,2
WB,Action,1144337,2701,8.5,2.35,164000,PG13,2012,165,250000000,207417764.9,946840789.3,2,2,2,4,2,2
BV,Adventure,665575,704,8.3,1.85,27000,PG,2009,96,175000000,134698755,616314344.9,4,2,4,4,4,4
Fox,Action,886204,3054,7.9,1.78,33000,PG13,2009,162,237000000,196698755,2666477448,2,2,2,4,2,2
Fox,Drama,249688,548,7.8,1.85,93000,PG13,2014,125,12000000,-29642067.61,169747470.2,1,2,1,2,5,2
Atwentyfour,Drama,161288,351,8.3,2.35,72000,R,2015,117,6000000,-36177171.7,-117473897.7,2,1,1,2,2,4
Uni.,Drama,220020,1360,4.1,2.35,101000,R,2015,125,40000000,-2177171.7,416775811.3,2,1,1,2,4,2
LGS,Adventure,341058,713,6.7,2.35,49000,PG13,2014,139,85000000,43357932.39,153344100.2,1,2,2,1,2,4
Uni.,Crime,87950,207,6.5,2.35,15000,R,2014,113,28000000,-13642067.61,-82222194.8,2,3,2,2,5,5
LGF,Comedy,49671,166,6,2.35,11000,R,2016,102,11500000,-47395023.74,-95050791.6,2,2,1,1,5,2
WBNL,Horror,300110,807,7.5,2.35,131000,R,2013,112,13000000,-31204533.29,191404602.4,2,2,1,2,5,5
Par.,Biography,780588,1138,8.2,2.35,138000,R,2013,180,100000000,55795466.71,265405155.4,2,2,4,2,4,2
Par.,Action,242420,918,5.7,2.35,56000,PG13,2014,165,210000000,168357932.4,110096205.2,2,2,4,2,2,4
BV,Action,414070,532,7.1,2.35,63000,PG13,2013,112,170000000,125795466.7,353169461.4,2,4,2,4,2,2
WB,Action,1217752,3646,8.7,2.35,25000,R,1999,136,63000000,20481720.35,362098304,2,2,2,2,5,5
BV,Action,809474,2113,8.1,2.35,10000,PG13,2003,143,140000000,95940108.04,536516341,2,3,2,2,2,2
NL,Action,1100446,2417,8.7,2.35,10000,PG13,2002,179,79000000,37955704.27,815713067.5,2,2,2,2,2,4
LGS,Crime,40568,185,6.4,2.35,18000,R,2015,137,50000000,7822828.3,-149551325.7,2,2,2,4,2,2
Uni.,Action,92364,244,6.5,2.35,15000,R,2014,104,9000000,-32642067.61,-26620947.8,2,1,1,2,3,5
Uni.,Comedy,97697,185,6.5,1.85,40000,PG13,2015,115,29000000,-13177171.7,133757608.3,2,1,2,2,2,5
LGF,Action,196217,461,7.6,2.39,59000,R,2015,121,30000000,-12177171.7,-68849839.7,1,3,2,4,2,5
LGS,Action,51892,273,5.5,2.35,24000,PG13,2016,127,140000000,81104976.26,-46068071.6,2,2,2,2,2,4
WBNL,Comedy,39440,83,6.1,2.35,15000,R,2016,110,38000000,-20895023.74,-77123819.6,2,2,2,2,2,2
ORF,Crime,293304,552,7.9,2.35,65000,R,2014,117,8500000,-33142067.61,-96706577.8,2,1,2,4,5,5
WB,Action,325264,916,7.3,2.35,112000,R,2014,134,58800000,17157932.39,406903628.2,2,3,3,4,4,4
Par.,Comedy,1251222,1398,8.8,2.35,59000,PG13,1994,142,55000000,26527703.12,575359990.2,2,3,2,2,2,4
Focus,Action,69484,323,5.9,2.35,28000,R,2016,99,60000000,1104976.26,6601764.4,2,2,2,1,2,2
Uni.,Fantasy,31915,159,4.4,2.35,18000,PG13,2014,89,5000000,-36642067.61,-32874015.8,3,3,4,2,5,5
BV,Adventure,644348,656,8.5,1.66,17000,G,1994,89,45000000,16527703.12,685656367.2,4,3,1,1,2,4
Fox,Adventure,67223,126,6.2,1.85,11000,PG,2014,97,127000000,85357932.39,214020487.2,2,2,2,2,1,4
WB,Crime,136973,275,7.4,2.35,47000,R,2014,141,50000000,8357932.39,-51684406.8,2,1,2,2,4,2
NL,Action,1215718,3189,8.9,2.35,16000,PG13,2003,201,94000000,49940108.04,1000394096,2,3,2,4,2,2
TriS,Action,744891,983,8.5,2.35,13000,R,1991,137,100000000,74800909.09,441246533.8,2,3,4,2,4,4
WB,Action,175960,360,7.3,2.35,43000,PG13,2015,116,75000000,32822828.3,-44730546.7,2,3,2,2,4,4
WB,Action,477300,621,7.6,1.85,20000,PG13,2009,128,90000000,49698754.96,409000279.9,2,2,2,2,2,4
WB,Action,139593,720,5.4,2.35,44000,PG13,2015,124,176000003,133822831.3,31112067.3,2,2,2,2,2,2
Sony,Comedy,84382,158,5.1,1.85,0,R,2014,97,40000000,-1642067.61,-9334285.8,2,3,2,2,2,4
Mira.,Crime,1324680,2195,8.9,2.35,45000,R,1994,154,8000000,-20472296.88,111343353.2,3,3,3,2,3,3
Uni.,Adventure,732212,809,8.5,1.18,39000,PG,1985,116,19000000,5306167.45,323576789.8,1,1,2,2,5,5
WB,Action,286095,974,6.6,2.35,0,PG13,2009,115,200000000,159698755,256324601.9,2,2,2,4,2,2
BV,Adventure,421658,904,7.6,2.24,58000,PG,2013,102,150000000,105795466.7,1147623470,1,3,4,2,4,4
BV,Action,370704,484,6.7,2.35,58000,PG13,2011,136,250000000,210750896.7,910701443.4,2,3,3,2,4,4
Atwentyfour,Drama,289508,611,7.7,2.35,109000,R,2015,108,15000000,-27177171.7,-116006241.7,2,2,4,2,5,5
BV,Adventure,62836,345,6.8,2.35,20000,PG,2015,93,175000000,132822828.3,179050491.3,4,3,2,2,4,4
Sony,Action,470483,2301,8,2.35,0,PG13,2006,144,150000000,112105274.3,511945535.2,2,3,2,4,2,2
Sony,Action,55617,266,5.2,2.35,14000,PG13,2016,112,38000000,-20895023.74,-79221252.6,3,2,2,2,4,2
WBNL,Drama,146708,362,7.7,2.35,70000,PG13,2015,133,35000000,-7177171.7,-14940088.7,2,3,2,2,3,4
BV,Action,471220,1238,7.1,2.35,0,PG13,2007,169,300000000,260615497.1,856872101.5,2,3,2,4,2,2
Par.,Drama,126893,440,7.3,2.35,33000,PG13,2016,103,15000000,-43895023.74,-80837398.6,2,2,4,2,5,2
Sony,Action,408302,345,7.2,2.35,39000,R,2012,109,42000000,-582235.14,67384830.3,2,2,2,4,4,2
Fox,Adventure,60230,118,6.7,1.85,11000,PG,2014,92,132000000,90357932.39,238148299.2,4,4,4,2,1,1
Par.,Action,536314,738,7,2.35,63000,PG13,2011,115,150000000,110750896.7,333133450.4,2,2,4,2,3,2
BV,Action,557489,1187,7.2,2.35,95000,PG13,2013,130,200000000,155795466.7,1088844455,2,3,2,2,2,2
WB,Action,431620,741,7.9,2.35,77000,PG13,2014,113,178000000,136357932.4,235137461.2,2,3,2,4,2,2
Fox,Action,430055,856,6.9,2.35,16000,PG13,1996,145,75000000,40010939.14,724865743.1,2,3,2,2,4,2
Par.,Action,696338,1055,7.9,2.35,10000,PG13,2008,126,140000000,99036490.17,478842651.7,2,2,2,2,2,2
Fox,Action,317542,620,7.6,1.85,45000,PG13,2014,130,170000000,128357932.4,572796205.2,2,2,2,2,4,2
Focus,Action,57674,126,6.5,2.35,11000,PG13,2015,116,26000000,-16177171.7,-122352429.7,2,2,4,2,5,5
Uni.,Comedy,60926,302,6.4,1.85,23000,PG13,2016,106,22000000,-36895023.74,-125894023.6,2,2,1,4,2,2
Wein.,Adventure,885175,1527,8.3,2.35,42000,R,2009,153,70000000,29698754.96,204102650.9,2,3,4,4,2,2
WB,Adventure,582917,1885,7.8,2.35,147000,PG13,2013,91,105000000,60795466.71,589797166.4,2,2,2,2,4,4
Sony,Action,321227,1067,6.7,2.35,41000,PG13,2014,142,200000000,158357932.4,570313637.2,2,3,2,2,4,2
Col.,Crime,1689764,4144,9.3,1.85,108000,R,1994,142,25000000,-3472296.88,-74243939.8,2,2,1,2,2,5
BV,Adventure,692482,866,8.2,1.85,11000,G,2003,100,94000000,49940108.04,746131095,2,3,4,2,2,4
WB,Comedy,114294,187,6.3,2.35,12000,R,2014,108,42000000,357932.39,-28758437.8,2,2,2,2,4,2
BV,Action,252257,634,7,2.35,89000,PG,2014,97,180000000,138357932.4,623006583.2,2,1,2,2,4,2
LGF,Action,47320,188,5.5,2.35,12000,R,2015,106,60000000,17822828.3,-122457095.7,2,2,2,4,2,2
Uni.,Animation,385943,296,7.7,1.85,31000,PG,2010,95,69000000,25576254.59,432205068.5,2,2,2,2,2,2
Sony,Action,522030,1498,7.8,2.35,80000,PG13,2012,143,200000000,157417764.9,974360515.3,2,2,2,4,2,3
BV,Drama,178118,355,7.6,2.35,55000,PG13,2015,141,40000000,-2177171.7,12602692.3,2,3,2,2,2,2
BV,Animation,473887,626,8,2.35,10000,G,2007,111,150000000,110615497.1,519594919.5,4,3,2,2,4,2
Sony,Adventure,403014,289,7.3,1.85,0,PG13,1997,98,90000000,46931143.78,473901841.4,2,2,2,2,4,2
Sony,Action,330784,1243,6.7,2.35,0,PG13,2008,106,200000000,159036490.2,479759156.7,2,2,2,2,2,4
Uni.,Comedy,216581,397,6.4,2.35,21000,R,2014,96,18000000,-23642067.61,132753605.2,2,2,1,4,5,2
Uni.,Animation,286877,284,7.5,1.85,56000,PG,2013,98,76000000,31795466.71,844166346.4,2,3,4,4,2,2
Par.,Action,661017,771,8.5,2.35,16000,PG,1981,115,18000000,7180555.56,340570633.8,2,3,2,4,4,2
Sony,Action,544665,2012,7.3,1.85,5000,PG13,2002,121,139000000,97955704.27,711134218.5,2,2,2,2,4,2
Par.,Biography,182983,374,7.8,2.35,99000,R,2015,130,28000000,-14177171.7,-19529149.7,2,2,2,2,2,1
Par.,Action,365104,512,7.4,2.35,35000,PG13,2011,133,145000000,105750896.7,583731823.4,2,3,2,2,4,4
BV,Action,522040,1832,7.3,2.35,5000,PG13,2006,151,200000000,162105274.3,978559387.2,2,2,2,4,2,3
PicH,Drama,467234,1083,8.2,1.85,27000,R,2006,118,19000000,-18894725.68,-3842198.83,1,3,3,4,5,5
WB,Action,548573,2536,7.2,2.35,118000,PG13,2013,143,225000000,180795466.7,536249979.4,2,3,2,4,2,4
Fox,Action,290949,629,7.8,1.85,13000,R,1987,107,18000000,4839999.87,40440278.94,2,3,4,4,4,2
WB,Action,269033,817,7.6,1.85,12000,PG13,1989,126,35000000,16333530.35,325963572.7,2,1,2,2,2,4
Fox,Adventure,328159,467,7.6,1.85,3000,PG,2002,81,59000000,17955704.27,272682803.5,4,3,2,4,2,2
Fox,Horror,563827,1110,8.5,2.35,23000,R,1979,117,11000000,-3147222.22,34530078.61,1,3,1,2,5,5
Uni.,Action,38983,207,5.4,2.35,11000,R,2015,133,70000000,27822828.3,-135122715.7,2,3,2,4,2,2
Orion,Action,600266,692,8.1,1.85,13000,R,1984,108,6400000,-6986511.32,21733925.32,2,1,4,2,5,5
Fox,Action,128682,657,6.1,2.35,51000,PG13,2014,153,140000000,98357932.39,132628033.2,2,3,2,4,2,3
Par.,Action,329969,524,7.6,2.35,0,PG,1984,118,28000000,14613488.68,276362725.3,2,3,4,2,2,4
FoxS,Biography,439176,695,8.1,2.35,83000,R,2013,134,20000000,-24204533.29,60404461.4,4,3,4,2,2,5
Uni.,Action,407601,849,7.9,2.35,0,PG13,2002,119,60000000,18955704.27,103459891.5,2,3,2,2,2,4
WB,Action,381148,1106,7,1.85,83000,PG13,2013,131,180000000,135795466.7,281007367.4,2,3,2,2,4,4
Uni.,Action,117927,501,5.2,2.35,0,PG13,2008,112,145000000,104036490.2,294797068.7,2,3,2,2,2,2
Fox,Adventure,130272,209,5.9,2.35,2000,PG,2009,105,150000000,109698755,298077770.9,2,3,2,4,2,4
Par.,Crime,1155770,2238,9.2,1.85,43000,R,1972,175,6000000,3495574.6,184861993.9,4,3,4,2,2,4
Fox,Action,592582,722,8.2,2.35,25000,R,1988,131,28000000,13706842.11,86171927.35,2,2,2,4,4,2
DW,Action,982637,2368,8.5,2.35,21000,R,2000,155,103000000,58222477.06,356320609.4,2,1,2,2,2,2
Par.,Comedy,667983,877,8.1,1.85,18000,PG,1998,103,60000000,16407415.73,158865652,2,4,2,4,2,5
Par.,Action,232187,440,7.4,2.35,47000,PG13,2015,131,150000000,107822828.3,529454483.3,2,1,2,2,2,4
PDW,Action,307029,360,7.6,2.35,6000,PG,2008,90,130000000,89036490.17,525412989.7,2,2,2,2,2,2
Fox,Drama,1347461,2968,8.8,2.35,48000,R,1999,139,63000000,20481720.35,-565326,1,2,1,2,2,5
Fox,Action,387632,789,7.1,2.35,0,PG13,2004,115,120000000,76641175.81,237248178.3,2,2,4,2,2,2
DW,Adventure,266636,385,6.9,1.85,0,PG,2005,86,75000000,34231497.34,436460143.9,2,1,4,2,4,3
Col.,Comedy,437418,609,8.1,1.85,38000,PG,1993,101,14600000,-7958951.85,-15829774.79,2,3,4,2,5,5
Fox,Comedy,106820,147,6.5,1.85,14000,R,2014,104,17000000,-24642067.61,1217476.2,1,2,4,2,3,5
FoxS,Adventure,475518,644,8.1,1.37,149000,R,2014,99,30000000,-11642067.61,39196523.2,2,3,2,2,2,2
Par.,Action,395573,1171,7.8,2.35,92000,PG13,2013,132,190000000,145795466.7,340769707.4,2,4,2,2,2,2
WB,Action,392474,1229,7.7,2.35,18000,R,2009,162,130000000,89698754.96,70230583.9,3,2,2,4,2,4
TriS,Action,531737,1262,8,1.85,22000,R,2009,112,30000000,-10301245.04,95791211.9,1,3,4,3,5,5
WB,Action,225273,523,6.2,2.35,71000,R,2014,102,110000000,68357932.39,202176256.2,4,2,2,4,4,2
Sony,Action,383056,1902,6.2,2.35,0,PG13,2007,139,258000000,218615497.1,786743727.5,2,2,2,2,4,2
WBNL,Adventure,637246,1367,7.9,2.35,166000,PG13,2012,169,250000000,207417764.9,882803070.3,4,2,4,2,2,2
Fox,Biography,75329,256,6.6,1.85,24000,PG13,2015,124,60000000,17822828.3,-51741596.7,2,2,2,2,3,3
Par.,Action,522371,723,7,2.35,18000,PG13,2010,124,200000000,156576254.6,512624414.5,2,2,2,2,2,2
Fox,Action,110486,695,4.3,2.35,41000,PG13,2015,100,120000001,77822829.3,15101940.3,2,3,2,4,2,4
SGem,Action,208092,806,7,2.35,0,R,2003,121,22000000,-22059891.96,-22786426,2,2,1,4,4,5
WB,Adventure,320284,1361,6.7,1.85,0,PG,2005,115,150000000,109231497.3,378748235.9,2,4,4,2,4,2
BV,Action,479166,815,8,2.35,0,PG,2004,115,92000000,48641175.81,521455354.3,4,3,2,4,4,4
Wein.,Drama,955174,1193,8.5,2.35,199000,R,2012,165,100000000,57417764.86,291167740.3,2,3,2,2,2,2
Uni.,Action,491077,820,8.1,2.35,0,PG13,2007,115,70000000,30615497.1,338696239.5,2,3,2,2,2,3
Par.,Mystery,786092,964,8.1,2.35,53000,R,2010,138,80000000,36576254.59,183495278.5,2,2,2,2,2,2
Uni.,Action,348232,806,7.8,2.35,0,PG13,2004,108,75000000,31641175.81,178513479.3,2,3,2,2,2,2
Par.,Drama,793059,2528,7.7,2.35,26000,PG13,1997,194,200000000,156931143.8,1729545490,2,2,4,4,2,4
DW,Action,881236,2277,8.6,1.85,22000,R,1998,169,70000000,26407415.73,376588360,2,3,2,2,4,2
WB,Adventure,382255,1504,7.8,2.35,11000,PG,2004,141,130000000,86641175.81,679817816.3,2,3,2,3,2,2
Gram.,Crime,740918,1182,8.6,2.35,28000,R,1995,106,6000000,-26026455.82,-77163281.1,1,4,3,2,3,2
Wein.,Comedy,72803,171,7.3,1.85,33000,PG13,2014,102,13000000,-28642067.61,-80566560.8,2,3,2,2,2,5
Fox,Adventure,456260,2326,7,2.35,97000,R,2012,124,130000000,87417764.86,268969644.3,1,2,2,2,2,2
Sony,Action,283418,1055,5.8,2.35,13000,PG13,2009,158,200000000,159698755,654625195.9,2,2,2,2,2,4
Fox,Action,234480,444,6.4,1.85,3000,PG,2006,108,110000000,72105274.32,487380416.2,2,3,4,1,2,4
EC,Action,26767,121,5.1,2.35,0,PG13,2015,96,25000000,-17177171.7,-80245985.7,1,3,4,2,3,5
WBNL,Comedy,316671,301,7,2.35,35000,R,2013,110,37000000,-7204533.29,143398580.4,2,2,2,2,2,4
BV,Drama,844052,1100,8.5,2.35,49000,PG13,2006,130,40000000,2105274.32,22575886.17,2,2,2,2,2,5
LGS,Action,58752,117,6,2.35,21000,PG13,2015,106,90000000,47822828.3,-12479005.7,2,3,2,2,3,4
LGF,Action,270226,741,6.5,2.35,57000,R,2010,103,80000000,36576254.59,163161477.5,2,2,2,2,2,2
BV,Action,27481,113,6.8,2.35,12000,PG13,2016,114,80000000,21104976.26,-137024729.6,2,3,2,4,2,2
Sum.,Drama,348007,1535,5.2,2.35,19000,PG13,2008,122,37000000,-3963509.83,286285054.7,2,1,4,1,2,4
LGF,Drama,93767,209,7.2,2.35,34000,PG13,2015,112,25000000,-17177171.7,-110245879.7,1,3,2,2,5,2
BV,Adventure,623757,391,8.3,1.85,0,G,1995,81,30000000,-2026455.82,261453886.9,2,3,4,2,5,5
TriS,Action,338087,814,6.6,2.35,61000,R,2013,109,115000000,70795466.71,159545161.4,2,3,4,4,2,2
Mira.,Drama,469561,514,8.2,1.85,21000,R,1996,94,4000000,-30989060.86,-75612444.87,2,2,3,2,3,3
Par.,Action,333847,2054,6.2,2.35,5000,PG13,2008,122,185000000,144036490.2,680304462.7,2,3,2,2,4,2
Uni.,Biography,865020,1273,8.9,1.85,41000,R,1993,195,22000000,-558951.85,234529020.2,2,2,1,2,5,5
Uni.,Biography,610568,1171,8.2,1.85,29000,PG13,2001,135,60000000,17363337.62,205101577.6,2,1,2,4,2,4
BV,Adventure,263853,584,7.2,2.35,0,G,2006,117,120000000,82105274.32,374882724.2,2,3,2,4,4,2
Fox,Biography,32507,119,7.5,2.35,15000,PG13,2016,106,23000000,-35895023.74,-142971019.6,2,3,2,2,3,5
WB,Adventure,355137,1108,7.5,2.35,0,PG13,2007,138,150000000,110615497.1,834084839.5,2,2,2,4,2,2
Uni.,Action,138582,423,6.3,2.35,37000,PG13,2014,92,70000000,28357932.39,80125406.2,2,3,2,2,2,4
Par.,Action,256695,871,6.9,2.35,0,PG13,2006,126,150000000,112105274.3,310749587.2,2,2,2,2,2,2
Fox,Action,221128,343,7.9,2.35,46000,PG,2014,102,145000000,103357932.4,473719253.2,2,2,2,2,2,2
Fox,Action,165618,503,5.3,1.85,66000,R,2013,98,92000000,47795466.71,178058643.4,2,4,2,2,4,3
Uni.,Action,228554,710,6.1,2.35,53000,PG13,2012,127,170000000,127417764.9,262399502.3,2,3,2,2,2,2
Uni.,Horror,422432,1040,8.5,1.85,18000,R,1960,109,806948,-2686043.333,9165833.33,1,3,1,2,5,5
LGF,Action,435864,801,7.7,2.35,36000,R,2010,117,28000000,-15423745.41,-15120013.5,2,3,2,4,2,5
MGM,Action,199025,416,7.2,2.35,0,PG13,1995,130,58000000,25973544.18,251689184.9,2,3,4,2,4,4
MGM,Action,157519,683,6.4,2.35,2000,PG13,1999,128,135000000,92481720.35,260413321,2,1,2,1,4,4
Uni.,Horror,139329,578,5.7,2.35,31000,R,2013,86,3000000,-41204533.29,-37266911.6,2,3,3,4,4,3
UA,Action,82073,275,7,2.35,0,Approved,1965,130,11000000,2433333.333,60126460.17,2,3,4,4,4,4
BV,Adventure,286506,1463,6.9,2.35,0,PG,2005,143,180000000,139231497.3,652586429.9,4,3,4,1,2,2
WB,Biography,728685,989,8.7,1.85,25000,R,1990,146,25000000,1289980.87,-35970596.17,2,2,2,2,5,5
Uni.,Comedy,471644,623,7,1.85,74000,R,2012,106,50000000,7417764.86,415167817.3,2,2,2,2,4,2
Par.,Action,504419,1559,8,2.35,19000,PG13,2009,127,150000000,109698755,270652046.9,2,3,4,4,2,2
BV,Adventure,260939,244,8,1.33,0,G,1992,90,28000000,6183266.07,417141199.5,1,1,4,2,5,5
LGF,Action,127258,351,6.1,2.35,56000,PG13,2014,127,90000000,48357932.39,70768749.2,2,2,2,2,2,2
WB,Adventure,387616,858,7.4,2.35,0,PG,2002,161,100000000,58955704.27,766114149.5,2,2,2,3,2,2
Sony,Action,158720,744,4.9,2.35,37000,PG13,2013,100,130000000,85795466.71,117247588.4,2,2,4,4,4,4
Par.,Action,465019,995,7,2.35,129000,PG13,2013,116,200000000,155795466.7,405269461.4,2,3,4,4,2,4
BV,Adventure,585659,593,8.1,1.85,0,G,2001,92,115000000,72363337.62,454375492.6,2,2,4,4,2,3
Rela.,Action,50056,152,6.3,2.35,0,R,2014,108,15000000,-26642067.61,-102847675.8,2,3,2,2,5,5
WB,Action,364948,2121,6.7,2.35,0,R,2003,129,150000000,105940108,306493328,2,3,2,2,4,4
