ID,director_facebook_likes,cast_total_facebook_likes,num_voted_users,num_user_for_reviews,imdb_score,movie_facebook_likes,Revenue,Budget,profit,response
173,138,29585,786092,964,8.1,53000,294804195,80000000,214804195,Profit
174,108,14161,348232,806,7.8,0,288500217,75000000,213500217,Profit
175,194,45223,793059,2528,7.7,26000,1845034188,200000000,1645034188,Profit
176,169,44998,881236,2277,8.6,22000,481840909,70000000,411840909,Profit
177,142,33284,382255,1504,7.8,11000,789804554,130000000,659804554,Profit
178,106,20821,740918,1182,8.6,28000,23341568,6000000,17341568,Profit
179,102,20330,72803,171,7.3,33000,54837234,13000000,41837234,Profit
180,124,24098,456260,2326,7,97000,403170142,130000000,273170142,Profit
181,158,2144,283418,1055,5.8,13000,769653595,200000000,569653595,Profit
182,108,55486,234480,444,6.4,3000,574480841,110000000,464480841,Profit
183,96,1411,26767,121,5.1,0,72629670,25000000,47629670,Profit
184,118,3425,316671,301,7,35000,269994119,37000000,232994119,Profit
185,130,63986,844052,1100,8.5,49000,109676311,40000000,69676311,Profit
186,106,16922,58752,117,6,21000,140396650,90000000,50396650,Profit
187,113,46355,270226,741,6.5,57000,274470394,80000000,194470394,Profit
188,122,44060,348007,1535,5.2,19000,392616625,37000000,355616625,Profit
189,112,15327,93767,209,7.2,34000,42629776,25000000,17629776,Profit
190,74,19046,623757,391,8.3,0,361958736,30000000,331958736,Profit
191,109,17689,338087,814,6.6,61000,286140700,115000000,171140700,Profit
192,94,3559,469561,514,8.2,21000,16491080,4000000,12491080,Profit
193,122,14959,333847,2054,6.2,5000,786636033,185000000,601636033,Profit
194,185,15233,865020,1273,8.9,41000,321265768,22000000,299265768,Profit
195,135,2827,610568,1171,8.2,29000,313542341,60000000,253542341,Profit
196,117,4905,263853,584,7.2,0,461983149,120000000,341983149,Profit
197,106,21195,32507,119,7.5,15000,46152800,23000000,23152800,Profit
198,138,33433,355137,1108,7.5,0,938212738,150000000,788212738,Profit
199,92,5178,138582,423,6.3,37000,215529201,70000000,145529201,Profit
200,124,34817,256695,871,6.9,0,397850012,150000000,247850012,Profit
201,102,23378,221128,343,7.9,46000,609123048,145000000,464123048,Profit
202,101,15481,165618,503,5.3,66000,304654182,92000000,212654182,Profit
203,132,72881,228554,710,6.1,53000,396600000,170000000,226600000,Profit
204,108,1885,422432,1040,8.5,18000,3.20E+07,806948,31193052,Profit
205,117,2357,435864,801,7.7,36000,96188903,28000000,68188903,Profit
206,130,1784,199025,416,7.2,0,352194034,58000000,294194034,Profit
207,128,2037,157519,683,6.4,2000,361832400,135000000,226832400,Profit
208,85,3708,139329,578,5.7,31000,89328627,3000000,86328627,Profit
209,130,1164,82073,275,7,0,141195658,11000000,130195658,Profit
210,150,1317,286506,1463,6.9,0,748806957,180000000,568806957,Profit
211,146,24783,728685,989,8.7,25000,46836394,25000000,21836394,Profit
212,112,21773,471644,623,7,74000,549368315,50000000,499368315,Profit
213,127,39284,504419,1559,8,19000,385680446,150000000,235680446,Profit
214,90,52970,260939,244,8,0,504050219,28000000,476050219,Profit
215,131,52610,127258,351,6.1,56000,206172544,90000000,116172544,Profit
216,174,35672,387616,858,7.4,0,876688482,100000000,776688482,Profit
