0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
The Hunger Games: Mockingjay - Part 2 (2015),Status Released,Original Language English,Runtime 2h 16m,"Budget $160,000,000.00","Revenue $639,827,109.00",Homepage http://www.thehungergames.movie/,Release Information,Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,Woody Harrelson,Elizabeth Banks,Julianne Moore,Full Cast & Crew,
Spectre (2015),Status Released,Original Language English,Runtime 2h 28m,"Budget $245,000,000.00","Revenue $880,674,609.00",Homepage http://www.sonypictures.com/movies/spectre/,Release Information,Daniel Craig,Christoph Waltz,Léa Seydoux,Ralph Fiennes,Monica Bellucci,Ben Whishaw,Full Cast & Crew,
Tomorrowland (2015),Status Released,Original Language English,Runtime 2h 10m,"Budget $190,000,000.00","Revenue $209,035,668.00",Homepage http://movies.disney.com/tomorrowland,Release Information,Britt Robertson,George Clooney,Raffey Cassidy,Thomas Robinson,Hugh Laurie,Kathryn Hahn,Full Cast & Crew,
Big Hero 6 (2014),Status Released,Original Language English,Runtime 1h 42m,"Budget $165,000,000.00","Revenue $652,105,443.00",Homepage http://movies.disney.com/big-hero-6,Release Information,Scott Adsit,Ryan Potter,Daniel Henney,T.J. Miller,Jamie Chung,Damon Wayans Jr.,Full Cast & Crew,
Southpaw (2015),Status Released,Original Language English,Runtime 2h 3m,"Budget $30,000,000.00","Revenue $91,709,827.00",Homepage -,Release Information,Jake Gyllenhaal,Rachel McAdams,Forest Whitaker,Oona Laurence,50 Cent,Skylan Brooks,Full Cast & Crew,
Maze Runner: The Scorch Trials (2015),Status Released,Original Language English,Runtime 2h 12m,"Budget $61,000,000.00","Revenue $311,256,926.00",Homepage http://mazerunnermovies.com,Release Information,Dylan O'Brien,Kaya Scodelario,Thomas Brodie-Sangster,Giancarlo Esposito,Aidan Gillen,Barry Pepper,Full Cast & Crew,
Ant-Man (2015),Status Released,Original Language English,Runtime 1h 55m,"Budget $130,000,000.00","Revenue $518,178,306.00",Homepage http://marvel.com/movies/movie/180/ant-man,Release Information,Paul Rudd,Michael Douglas,Evangeline Lilly,Corey Stoll,Bobby Cannavale,Anthony Mackie,Full Cast & Crew,
Café Society (2016),Status Released,Original Language English,Runtime 1h 36m,"Budget $30,000,000.00",Revenue -,Homepage -,Release Information,Jesse Eisenberg,Kristen Stewart,Blake Lively,Steve Carell,Parker Posey,Corey Stoll,Full Cast & Crew,
Inception (2010),Status Released,Original Language English,Runtime 2h 28m,"Budget $160,000,000.00","Revenue $825,500,000.00",Homepage http://inceptionmovie.warnerbros.com/,Release Information,Leonardo DiCaprio,Joseph Gordon-Levitt,Ellen Page,Tom Hardy,Ken Watanabe,Cillian Murphy,Full Cast & Crew,
The Dark Knight (2008),Status Released,Original Language English,Runtime 2h 32m,"Budget $185,000,000.00","Revenue $1,001,921,825.00",Homepage http://thedarkknight.warnerbros.com/dvdsite/,Release Information,Christian Bale,Heath Ledger,Aaron Eckhart,Michael Caine,Maggie Gyllenhaal,Gary Oldman,Full Cast & Crew,
