Title,Studio,Total Gross,Total Theaters,Opening,Opening Theaters,open
Guadalupe,Slow,"$848,139",225,"$301,333",225,12/8/2006
Guantanamera,Lions,"$903,840",12,"$8,851",3,7/4/1997
The Guard,SPC,"$5,360,274",203,"$76,834",4,7/29/2011
The Guardian,BV,"$55,011,732","3,241","$18,006,064","3,241",9/29/2006
The Guardian (1990),Uni.,"$17,037,887","1,736","$5,565,620","1,684",4/27/1990
Guardian Angel,RME,"$19,480",2,"$12,624",2,10/17/2014
Guardians of the Galaxy,BV,"$333,176,600","4,088","$94,320,883","4,080",8/1/2014
Guardians of the Galaxy Vol. 2,BV,n/a,n/a,n/a,n/a,5/5/2017
Guarding Eddy,N/A,n/a,n/a,n/a,n/a,10/28/2005
Guarding Tess,TriS,"$27,058,304","1,614","$7,065,213","1,601",3/11/1994
Gueros,KL,"$60,114",5,n/a,n/a,5/20/2015
Guerrilla: The Taking of Patty Hearst,Magn.,"$105,054",9,"$22,444",4,11/26/2004
Guess Who,Sony,"$68,915,888","3,147","$20,671,446","3,147",3/25/2005
Guess Who's Coming to Dinner,Col.,"$56,666,667",n/a,n/a,n/a,12/11/1967
The Guest (2014),PH,"$332,890",53,"$84,527",19,9/17/2014
Guest of Cindy Sherman,Trela,"$27,052",1,"$7,685",1,3/27/2009
Guiana 1838,RBC,"$227,241",16,"$70,910",1,9/24/2004
Guidance,Strand,"$4,900",2,n/a,n/a,8/21/2015
A Guide to Recognizing Your Saints,First,"$517,809",60,"$94,784",8,9/29/2006
The Guillotines,WGUSA,"$5,290",10,"$3,296",10,6/14/2013
The Guilt Trip,Par.,"$37,134,215","2,431","$5,290,629","2,431",12/19/2012
Guilty as Sin,BV,"$22,866,222","1,427","$5,713,708","1,132",6/4/1993
Guilty by Suspicion,WB,"$9,480,198",817,"$2,278,290",817,3/15/1991
Guinevere,Mira.,"$619,511",310,"$54,145",10,9/24/1999
Guitar Innovators: John Fahey & Nels Cline,FRun,"$6,132",2,"$1,119",1,8/16/2013
Gulliver's Travels,Fox,"$42,779,261","3,089","$6,307,691","2,546",12/25/2010
Gumby: The Movie,Arro.,"$57,100",21,n/a,n/a,5/12/1995
Gummo,FL,"$116,799",n/a,n/a,n/a,10/17/1997
Gun Crazy,UA,n/a,n/a,n/a,n/a,1/20/1950
Gun Fight,UA,n/a,n/a,n/a,n/a,5/1/1961
Gun Hill Road,MFG,"$148,994",10,"$37,963",3,8/5/2011
The Gun in Betty Lou's Handbag,BV,"$3,721,911",693,"$1,206,799",693,8/21/1992
Gun Shy,BV,"$1,638,202",296,"$703,109",296,2/4/2000
Gun the Man Down,UA,n/a,n/a,n/a,n/a,11/15/1956
Guncrazy,MRa,"$114,516",9,"$6,640",1,1/20/1993
Gunday,Yash,n/a,159,n/a,159,2/14/2014
Gung Ho,Par.,"$36,611,610","1,175","$7,170,830","1,150",3/14/1986
Gunga Din,RKO,n/a,n/a,n/a,n/a,2/17/1939
The Gunman,ORF,"$10,664,749","2,816","$5,028,702","2,816",3/20/2015
Gunmen,Dim.,"$3,411,885",802,"$1,909,919",802,2/4/1994
Gunner Palace,Palm,"$607,844",56,"$63,520",8,3/4/2005
Gunnin' for That #1 Spot,Osci.,"$50,804",14,"$20,355",14,6/27/2008
The Gunrunner,NWav,n/a,n/a,n/a,n/a,1984
The Guns of Navarone,Col.,n/a,n/a,n/a,n/a,6/22/1961
The Guru,Uni.,"$3,095,506",98,"$613,485",62,1/31/2003
Guru,AdL.,"$2,096,000",76,"$760,000",71,1/12/2007
Gurukulam,Mats.,"$25,651",11,n/a,n/a,6/3/2016
Gus,Dis.,"$21,873,000",n/a,n/a,n/a,7/7/1976
Guy,Gram.,"$4,134",1,"$2,132",1,12/17/1997
Guy and Madeline on a Park Bench,Vari.,"$35,556",5,"$3,233",1,11/5/2010
A Guy Thing,MGM,"$15,545,431","2,520","$6,988,749","2,515",1/17/2003
Guyana: Cult of the Damned,Uni.,"$3,798,102",748,"$1,668,965",748,1/25/1980
The Guys,Focus,"$21,366",15,"$16,068",15,4/4/2003
Guys and Balls,Reg.,"$28,324",7,"$7,425",3,4/28/2006
Guys and Dolls,MGM,n/a,n/a,n/a,n/a,11/3/1955
Guzaarish,UTV,"$1,017,335",108,"$488,121",108,11/19/2010
Gymkata,MGM,"$5,730,596",654,"$1,261,845",654,5/3/1985
Gypsy '83,SmlP,"$29,367",1,"$5,054",1,4/16/2004
Gypsy Caravan,Shad.,"$442,936",16,$379,1,1/19/2007
The Hacker Wars,Vita.,"$3,470",1,"$2,958",1,10/17/2014
Hackers,MGM,"$7,563,728","1,812","$3,173,101","1,812",9/15/1995
Hacksaw Ridge,LGF,n/a,n/a,n/a,n/a,11/4/2016
Hadewijch,IFC,"$5,006",2,"$1,892",1,12/24/2010
Hadh Kar Di Aapne,Eros,"$42,914",12,"$42,914",12,4/14/2000
Haider,UTV,"$1,048,143",119,"$508,084",119,10/2/2014
Haiku Tunnel,SPC,"$92,723",14,"$43,695",14,9/14/2001
Hail the Conquering Hero,Par.,n/a,n/a,n/a,n/a,8/9/1944
Hail! Hail! Rock 'n' Roll,Uni.,"$719,323",33,"$156,597",33,10/9/1987
"Hail, Caesar!",Uni.,"$30,080,225","2,248","$11,355,225","2,232",2/5/2016
Hair,MGM,"$15,284,643",n/a,n/a,n/a,3/14/1979
Hair High,BillP,"$5,342",1,$983,1,8/4/2006
Hair Show,Inn.,"$305,281",38,"$155,349",38,10/15/2004
The Hairdresser's Husband,Trit,"$1,217,084",n/a,n/a,n/a,6/19/1992
Hairspray (1988),NL,"$6,671,108",227,"$577,287",79,2/26/1988
Hairspray (2007),NL,"$118,871,849","3,121","$27,476,745","3,121",7/20/2007
Half Baked,Uni.,"$17,460,020","1,703","$7,722,540","1,701",1/16/1998
The Half Life of Timofey Berezin (a.k.a. PU-239),PicH,n/a,n/a,n/a,n/a,N/A
Half Moon,Strand,"$2,528",2,"$1,126",2,12/14/2007
Half Moon Street,Fox,"$1,131,399",n/a,n/a,n/a,9/26/1986
Half Nelson,Think,"$2,697,938",106,"$53,983",2,8/11/2006
Half of a Yellow Sun,Mont.,"$54,529",7,"$4,843",1,5/16/2014
Half Past Dead,Sony,"$15,567,860","2,113","$7,820,536","2,113",11/15/2002
Half the Road,FRun,"$4,783",2,"$1,613",2,4/18/2014
Hall Pass,WB (NL),"$45,060,734","2,950","$13,535,374","2,950",2/25/2011
The Hallow,IFC,"$13,906",8,"$1,559",1,11/6/2015
Halloween,CIP,"$47,000,000",n/a,n/a,n/a,10/25/1978
Halloween (2007),MGM/W,"$58,272,029","3,475","$26,362,367","3,472",8/31/2007
Halloween 3D,W/Dim.,n/a,n/a,n/a,n/a,TBD
Halloween 4: The Return of Michael Myers,Gal.,"$17,768,757","1,692","$6,831,250","1,679",10/21/1988
Halloween 5,Gal.,"$11,642,254","1,495","$5,093,428","1,483",10/13/1989
Halloween II,Uni.,"$25,533,818",n/a,"$7,446,508","1,211",10/30/1981
Halloween II (2009),W/Dim.,"$33,392,973","3,088","$16,349,565","3,025",8/28/2009
Halloween III: Season of the Witch,Uni.,"$14,400,000","1,328","$6,333,259","1,297",10/22/1982
Halloween: H20,Dim.,"$55,041,738","2,669","$16,187,724","2,607",8/7/1998
Halloween: Resurrection,Dim.,"$30,354,442","2,094","$12,292,121","1,954",7/12/2002
Halloween: The Curse of Michael Myers,Dim.,"$15,116,634","1,679","$7,308,529","1,679",9/29/1995
Halls of Anger,UA,n/a,n/a,n/a,n/a,1970
Hamara Dil Aapke Paas Hai,Eros,"$392,076",31,"$219,434",31,8/25/2000
Hamari Adhuri Kahani,FIP,"$235,361",67,"$131,263",67,6/12/2015
Hamburger Hill,Par.,"$13,839,404",814,"$3,360,705",814,8/28/1987
Hamlet (1990),WB,"$20,710,451",624,"$116,975",4,12/22/1990
Hamlet (1996),Sony,"$4,708,156",93,"$90,684",3,12/27/1996
Hamlet (2000),Mira.,"$1,577,287",65,"$62,253",4,5/12/2000
Hamlet 2,Focus,"$4,886,216","1,597","$439,925",103,8/22/2008
The Hammer,ICir,"$443,591",34,"$97,137",20,3/21/2008
Hammer of the Gods,Magn.,$641,2,$164,2,7/5/2013
Hammett,WB,"$42,914",n/a,n/a,n/a,9/17/1982
Hamsun,FRun,"$50,000",1,"$7,529",1,8/6/1997
Hancock,Sony,"$227,946,274","3,965","$62,603,879","3,965",7/2/2008
The Hand,WB,"$2,447,576",n/a,"$566,736",183,4/24/1981
The Hand That Rocks the Cradle,BV,"$88,036,683","1,759","$7,675,016",766,1/10/1992
Handcart,MPE,"$98,666",14,"$14,035",14,10/11/2002
A Handful of Dust,NL,"$1,560,700",29,"$35,470",1,6/24/1988
The Handmaid's Tale,Cinc,"$4,960,385",177,"$738,578",117,3/9/1990
The Handmaiden,Magn.,n/a,n/a,n/a,n/a,10/21/2016
Hands of Stone,Wein.,"$4,639,580","2,011","$1,751,388",810,8/26/2016
Hands on a Hard Body,Prov.,"$563,482",6,"$7,607",1,7/10/1998
Handsome Harry,Pala.,"$13,500",4,"$13,500",4,4/16/2010
Hang 'em High,UA,"$11,000,000",n/a,n/a,n/a,8/3/1968
Hangin' with the Homeboys,NL,"$532,933",n/a,n/a,n/a,2/22/1991
Hanging Up,Sony,"$36,050,230","2,618","$13,567,978","2,618",2/18/2000
Hangman's Curse,Fox,"$168,406",18,"$78,084",18,9/12/2003
The Hangover,WB,"$277,322,503","3,545","$44,979,319","3,269",6/5/2009
The Hangover Part II,WB,"$254,464,305","3,675","$85,946,294","3,615",5/26/2011
The Hangover Part III,WB,"$112,200,072","3,565","$41,671,198","3,555",5/23/2013
Hank and Asha,FR,"$16,878",2,"$6,192",1,4/11/2014
Hanky Panky,Col.,"$9,823,934","1,238","$3,597,244","1,238",6/4/1982
Hanna,Focus,"$40,259,119","2,545","$12,370,549","2,535",4/8/2011
Hanna's War,Can.,"$139,796",35,"$60,986",35,11/23/1988
Hannah and Her Sisters,Orion,"$35,392,203*",761,"$1,265,826",54,2/7/1986
Hannah and Her Sisters (re-issue),Orion,"$4,691,838*",255,"$786,758",255,2/13/1987
Hannah Arendt,Zeit.,"$717,205",21,"$31,270",1,5/29/2013
Hannah Montana The Movie,BV,"$79,576,189","3,231","$32,324,487","3,118",4/10/2009
Hannah Montana/Miley Cyrus: Best of Both Worlds Concert Tour,BV,"$65,281,781",687,"$31,117,834",683,2/1/2008
Hannah Takes the Stairs,IFC,"$22,815",2,"$5,901",1,8/22/2007
Hannari - Geisha Modern,Saku.,"$14,974",1,"$9,930",1,11/17/2006
Hannibal,MGM,"$165,092,268","3,292","$58,003,121","3,230",2/9/2001
Hannibal Rising,MGM/W,"$27,670,986","3,003","$13,051,650","3,003",2/9/2007
The Hanoi Hilton,Can.,"$760,000",2,"$17,784",2,3/27/1987
Hanover Street,Col.,"$3,000,000",n/a,n/a,n/a,5/18/1979
Hansel and Gretel,Inn.,"$154,642",59,"$100,477",59,10/18/2002
Hansel and Gretel: Witch Hunters,Par.,"$55,703,475","3,375","$19,690,956","3,372",1/25/2013
Hanussen,Col.,"$82,635",2,"$15,504",2,3/8/1989
The Happening,Fox,"$64,506,874","2,986","$30,517,109","2,986",6/13/2008
Happenstance,Lot47,"$251,444",7,"$8,777",2,11/2/2001
Happily Ever After,1NF,"$3,299,382","1,018","$1,756,050","1,018",5/28/1993
Happily Ever After,Kino,"$252,379",8,"$9,695",1,4/8/2005
Happily N'Ever After,LGF,"$15,589,393","2,381","$6,608,244","2,381",1/5/2007
Happiness,Good,"$2,807,390",60,"$130,303",6,10/16/1998
Happiness Runs,Strand,"$7,199",2,"$2,674",1,5/7/2010
Happy Accidents,IFC,"$688,523",49,"$95,508",24,8/24/2001
Happy Bhaag Jayegi,Eros,"$349,099",78,"$159,895",78,8/19/2016
Happy Christmas,Magn.,"$30,312",9,"$7,523",4,7/25/2014
Happy Ending,Eros,"$313,770",129,"$198,702",129,11/21/2014
Happy Endings,Lions,"$1,315,701",74,"$240,075",52,7/15/2005
Happy Feet,WB,"$198,000,317","3,804","$41,533,432","3,804",11/17/2006
Happy Feet Two,WB,"$64,006,466","3,611","$21,237,068","3,606",11/18/2011
Happy Gilmore,Uni.,"$38,824,099","2,069","$8,514,125","2,022",2/16/1996
Happy Here and Now,IFC,"$3,574",2,"$1,867",2,12/14/2005
The Happy Hooker,Can.,n/a,n/a,n/a,n/a,5/8/1975
The Happy Hooker Goes Hollywood,Can.,n/a,n/a,n/a,n/a,6/4/1980
The Happy Hooker Goes to Washington,Can.,n/a,n/a,n/a,n/a,7/15/1977
The Happy House,FRun,"$2,311",1,"$1,756",1,5/3/2013
Happy New Year,Col.,"$41,232",40,"$30,625",40,8/7/1987
Happy New Year (2014),N/A,n/a,n/a,n/a,n/a,TBD
Happy People: A Year in the Taiga,MBox,"$338,987",23,"$10,481",1,1/25/2013
The Happy Poet,Libre,"$3,400",1,"$1,847",1,3/22/2013
The Happy Sad,THS,"$8,395",2,"$4,560",2,8/16/2013
Happy Tears,RAtt.,"$22,464",15,"$13,009",15,2/19/2010
Happy Times,SPC,"$240,093",14,"$31,084",6,7/26/2002
Happy Together,Kino,"$320,319",9,"$12,360",1,10/10/1997
Happy Together (1990),Brde,"$70,912",10,"$32,776",10,5/4/1990
Happy Valley,Ston5,"$67,665",7,"$27,122",7,3/28/2008
Happy Valley (2014),MBox,"$23,868",4,"$9,047",4,11/21/2014
"Happy, Happy",Magn.,"$45,154",7,"$7,125",4,9/16/2011
"Happy, Texas",Mira.,"$1,955,933",146,"$72,056",8,10/1/1999
Happy-Go-Lucky,Mira.,"$3,512,016",202,"$73,867",4,10/10/2008
HappyThankYouMorePlease,Anch.,"$216,110",19,"$35,063",2,3/4/2011
Har dil jo Pyar Karega,Eros,"$406,235",32,"$249,561",32,8/4/2000
Hara-Kiri: Death of a Samurai,Trib.,"$75,688",5,"$10,920",2,7/20/2012
Hard Candy,LGF,"$1,024,640",152,"$58,049",2,4/14/2006
Hard Core Logo,Cow.,"$14,540",2,"$3,864",2,11/13/1998
Hard Country,Uni.,"$534,653",n/a,n/a,n/a,5/1/1981
A Hard Day,KL,"$19,004",2,n/a,n/a,7/17/2015
A Hard Day's Night (2014 re-release),Jan.,"$515,005",136,"$220,542",102,7/4/2014
A Hard Day's Night (Re-issue),Mira.,"$965,351",63,"$50,445",2,12/1/2000
Hard Eight,Gold.,"$222,559",29,"$69,486",29,2/28/1997
Hard Promises,Col.,"$306,319",n/a,n/a,n/a,1/31/1992
Hard Rain,Par.,"$19,870,567","2,132","$8,009,024","2,107",1/16/1998
Hard Target,Uni.,"$32,589,677","1,999","$10,106,500","1,972",8/20/1993
Hard to Be a God,KL,"$28,608",3,n/a,n/a,1/30/2015
Hard to Hold,Uni.,"$11,113,806","1,017","$3,410,001","1,017",4/6/1984
Hard to Kill,WB,"$47,410,827","1,508","$9,213,631","1,301",2/9/1990
The Hard Way,Uni.,"$25,895,485","1,629","$6,301,470","1,622",3/8/1991
The Hard Word,Lions,"$426,880",38,"$9,422",1,6/13/2003
Hardball,Par.,"$40,222,729","2,314","$9,386,342","2,137",9/14/2001
Hardbodies,Col.,"$7,121,719","1,594","$2,684,599","1,538",5/4/1984
Hardbodies 2,Cntl,"$78,068",46,"$78,068",46,9/12/1986
Hardcore,Col.,n/a,n/a,n/a,n/a,2/9/1979
Hardcore Henry,STX,"$9,252,038","3,015","$5,107,604","3,015",4/8/2016
Hardflip,RM,"$96,734",22,"$49,879",22,6/1/2012
Hardware,Mira.,"$5,728,953",695,"$2,381,285",695,9/14/1990
The Harimaya Bridge,Elev.,"$54,473",3,"$1,226",1,3/12/2010
Harlan: In the Shadow of Jew Suss,Zeit.,"$54,305",5,"$9,258",1,3/3/2010
Harlem Nights,Par.,"$60,864,870","2,180","$16,096,808","2,180",11/17/1989
Harley Davidson and the Marlboro Man,MGM,"$7,434,726","1,196","$2,200,549","1,196",8/23/1991
The Harmonists,Mira.,"$244,861",33,"$25,141",5,3/12/1999
Harmony and Me,N/A,"$20,099",1,n/a,n/a,9/18/2009
Harold,CityL,"$13,229",3,"$10,578",3,7/11/2008
Harold and Kumar Escape from Guantanamo Bay,WB (NL),"$38,108,728","2,545","$14,908,404","2,510",4/25/2008
Harold and Kumar Go to White Castle,NL,"$18,250,550","2,163","$5,480,378","2,135",7/30/2004
Harper,WB,n/a,n/a,n/a,n/a,2/23/1966
Harriet the Spy,Par.,"$26,570,048","1,876","$6,601,651","1,826",7/12/1996
Harrison's Flowers,Uni.,"$1,871,025",398,"$867,635",398,3/15/2002
Harry & Snowman,FR,n/a,n/a,n/a,n/a,9/30/2016
Harry and Max,TLA,"$15,247",1,"$3,938",1,2/18/2005
Harry and Son,Orion,"$4,864,980",920,"$1,900,000",920,3/2/1984
Harry and the Hendersons,Uni.,"$29,760,613","1,424","$4,154,740","1,418",6/5/1987
Harry Benson: Shoot First,Magn.,n/a,n/a,n/a,n/a,11/4/2016
Harry Brown,Gold.,"$1,818,681",67,"$173,353",19,4/30/2010
Harry Dean Stanton: Partly Fiction,AF,"$23,959",4,"$6,330",2,9/13/2013
The Harry Hill Movie,N/A,n/a,n/a,n/a,n/a,TBD
Harry Potter and the Chamber of Secrets,WB,"$261,988,482","3,682","$88,357,488","3,682",11/15/2002
Harry Potter and the Deathly Hallows Part 1,WB,"$295,983,305","4,125","$125,017,372","4,125",11/19/2010
Harry Potter and the Deathly Hallows Part 2,WB,"$381,011,219","4,375","$169,189,427","4,375",7/15/2011
Harry Potter and the Goblet of Fire,WB,"$290,013,036","3,858","$102,685,961","3,858",11/18/2005
Harry Potter and the Half-Blood Prince,WB,"$301,959,197","4,455","$77,835,727","4,325",7/15/2009
Harry Potter and the Order of the Phoenix,WB,"$292,004,738","4,285","$77,108,414","4,285",7/11/2007
Harry Potter and the Prisoner of Azkaban,WB,"$249,541,069","3,855","$93,687,367","3,855",6/4/2004
Harry Potter and the Sorcerer's Stone,WB,"$317,575,550","3,672","$90,294,621","3,672",11/16/2001
Harsh Times,MGM,"$3,337,931",956,"$1,968,505",956,11/10/2006
Hart's War,MGM,"$19,077,641","2,459","$7,771,753","2,459",2/15/2002
Harvard Beats Yale 29-29,Kino,"$268,431",13,"$14,088",3,11/19/2008
Harvard Man,Cow.,"$56,653",4,"$8,425",1,5/17/2002
Harvest,Mont.,"$24,657",4,"$5,870",1,5/6/2011
Harvest of Empire,Onyx,"$79,627",2,n/a,n/a,9/28/2012
The Harvest/La Cosecha,Libre,"$3,709",1,"$2,245",1,7/29/2011
Harvey,Uni.,n/a,n/a,n/a,n/a,10/13/1950
Hasee Toh Phasee,Relbig.,"$646,035",88,"$336,985",88,2/7/2014
Haseena Mann Jaayegi,Eros,"$123,719",22,"$123,719",22,6/25/1999
Hat Trick,UTV,"$24,502",24,"$20,700",24,3/16/2007
Hatari!,Par.,n/a,n/a,n/a,n/a,6/19/1962
Hatchet,Anch.,"$175,281",93,"$100,358",93,9/7/2007
Hatchet 2,Vita.,"$52,604",68,"$52,604",68,10/1/2010
Hate (La Haine),Gram.,"$280,859",n/a,n/a,n/a,2/9/1996
Hate Crime,Pasi.,"$40,758",2,$912,1,9/23/2005
The Hateful Eight,Wein.,"$54,117,416","2,938","$4,610,676",100,12/25/2015
Hateship Loveship,IFC,"$54,030",15,"$6,015",1,4/11/2014
Hating Breitbart,RM,"$81,432",8,"$40,673",4,10/19/2012
Hats Off,Abr.,"$31,272",5,"$6,570",1,3/28/2008
Haunted 3D,Relbig.,n/a,13,n/a,13,5/6/2011
Haunted Castle (IMAX),NWav,"$13,651,656",10,"$31,858",9,2/23/2001
Haunted Gold,Vit.,n/a,n/a,n/a,n/a,12/17/1932
Haunted Honeymoon,Orion,"$8,033,397","1,047","$2,768,003","1,046",7/25/1986
A Haunted House,ORF,"$40,041,683","2,160","$18,101,682","2,160",1/11/2013
A Haunted House 2,ORF,"$17,329,486","2,310","$8,843,875","2,310",4/18/2014
The Haunted Mansion,BV,"$75,847,266","3,122","$24,278,410","3,122",11/26/2003
Haunted Summer,Can.,"$9,911",1,"$4,726",1,12/16/1988
The Haunted World of Edward D. Wood Jr.,N/A,n/a,n/a,n/a,n/a,5/1/1996
The Haunting,DW,"$91,411,151","2,881","$33,435,140","2,808",7/23/1999
The Haunting in Connecticut,LGF,"$55,389,516","2,732","$23,004,765","2,732",3/27/2009
The Haunting of Molly Hartley,Free,"$13,559,812","2,652","$5,423,315","2,652",10/31/2008
The Haunting of Morella,Conc,"$1,547,867",n/a,n/a,n/a,2/9/1990
Haunts,Fox,n/a,n/a,n/a,n/a,TBD
Haute Cuisine,Wein.,"$217,883",60,"$14,387",3,9/20/2013
Hav Plenty,Mira.,"$2,284,034",413,"$1,102,036",413,6/19/1998
Hava Nagila (The Movie),ICir,"$370,218",24,"$8,218",1,3/1/2013
Havana,Uni.,"$9,243,140",835,"$2,175,360",824,12/14/1990
Haven,YFG,"$142,483",57,"$38,356",24,9/15/2006
Havoc,MDP,n/a,n/a,n/a,n/a,N/A
Hawayein,Meg.,"$409,978",5,"$37,812",5,8/15/2003
The Hawk,Castle,"$8,906",1,"$4,535",1,12/10/1993
The Hawk Is Dying,Strand,"$7,006",1,"$1,042",1,3/30/2007
Hayride 2,Free,"$2,571",10,"$1,668",10,3/6/2015
Haywire,Rela.,"$18,942,396","2,441","$8,425,370","2,439",1/20/2012
He Got Game,BV,"$21,567,853","1,414","$7,610,663","1,319",5/1/1998
He Knows You're Alone,MGM,"$4,875,436",n/a,"$748,824",279,8/29/1980
"He Loves Me, He Loves Me Not",IDP,"$1,011,102",23,"$76,000",13,2/14/2003
He Named Me Malala,FoxS,"$2,668,936",477,"$61,808",4,10/2/2015
"He Said, She Said",Par.,"$9,804,775",908,"$2,857,164",908,2/22/1991
He Was a Quiet Man,Mitro.,"$2,431",3,"$2,431",3,11/30/2007
He's Just Not That Into You,WB (NL),"$93,953,653","3,175","$27,785,487","3,175",2/6/2009
He-Man and She-Ra in The Secret of the Sword,Atl,"$7,660,857",n/a,n/a,n/a,3/22/1985
Head Above Water,FL,"$32,212",10,"$11,589",10,6/25/1997
Head Games,Vari.,"$14,056",5,"$1,152",2,9/21/2012
Head in the Clouds,SPC,"$398,278",47,"$46,133",10,9/17/2004
Head of State,DW,"$38,125,247","2,256","$13,503,484","2,151",3/28/2003
Head Office,TriS,"$3,393,807",907,"$1,937,934",907,1/3/1986
Head On,Strand,"$379,384",6,"$14,224",1,8/13/1999
Head Over Heels,Uni.,"$10,424,470","2,363","$4,804,595","2,338",2/2/2001
Head-On (Gegen die Wand),Strand,"$435,395",9,"$15,216",1,1/21/2005
Headhunters,Magn.,"$1,200,010",60,"$43,013",4,4/27/2012
Heading South,Shad.,"$898,468",26,"$1,200",1,2/3/2006
The Headless Woman,Strand,"$100,177",3,"$14,778",1,8/19/2009
Headshot,KL,"$1,373",1,$456,1,9/28/2012
Headspace,Free,"$1,650",1,"$1,430",1,2/17/2006
Hear My Song,Mira.,"$4,313,473",214,"$12,965",1,12/27/1991
Hear No Evil,Fox,"$5,679,569","1,432","$2,641,474","1,430",3/26/1993
Heart and Souls,Uni.,"$16,589,540","1,301","$4,322,250","1,275",8/13/1993
Heart Beat,WB,"$954,046",n/a,"$74,303",18,1/18/1980
Heart Condition,NL,"$4,134,992",885,"$2,149,786",885,2/2/1990
The Heart Is Deceitful Above All Things,Palm,"$29,058",3,"$10,000",2,3/10/2006
Heart Like a Wheel,Fox,"$272,278",n/a,n/a,n/a,4/1/1983
Heart of a Dog,Abr.,"$420,813",22,"$13,893",1,10/21/2015
Heart of Dixie,Orion,"$1,097,333",359,"$367,091",359,8/25/1989
The Heart of Me,Think,"$196,067",11,"$21,956",5,6/13/2003
The Heart of the Game,Mira.,"$445,374",21,"$11,251",3,6/9/2006
The Heart Specialist,Free,"$1,103,037",422,"$473,062",422,1/14/2011
Heartbeat Detector,NYer,"$5,309",2,"$5,309",2,3/14/2008
Heartbeats,IFC,"$68,723",10,"$7,197",1,2/25/2011
Heartbeeps,Uni.,"$2,154,696",n/a,"$407,464",493,12/18/1981
Heartbreak Hospital,7Art,"$1,480",1,"$1,480",1,9/6/2002
Heartbreak Hotel,BV,"$5,509,417","1,414","$2,063,546","1,338",9/30/1988
The Heartbreak Kid,P/DW,"$36,787,257","3,233","$14,022,105","3,229",10/5/2007
Heartbreak Ridge,WB,"$42,724,017","1,647","$8,100,840","1,470",12/5/1986
Heartbreaker,IFC,"$504,030",43,"$52,628",3,9/10/2010
Heartbreakers,MGM,"$40,336,607","2,751","$11,801,323","2,750",3/23/2001
Heartbreakers (1984),Orion,"$148,750",n/a,n/a,n/a,9/28/1984
Heartburn,Par.,"$25,314,189",850,"$5,783,079",843,7/25/1986
Heartless,IFC,"$3,697",1,"$2,033",1,11/19/2010
Hearts and Minds (Re-issue),Rialto,"$28,754",2,"$8,556",2,10/22/2004
Hearts in Atlantis,WB,"$24,185,781","2,010","$9,021,494","1,751",9/28/2001
Hearts of Darkness,Trit,"$1,318,449",28,"$42,992",4,11/27/1991
Hearts of the West,MGM,n/a,n/a,n/a,n/a,1976
Heat,WB,"$67,436,818","1,704","$8,445,656","1,325",12/15/1995
The Heat,Fox,"$159,582,188","3,184","$39,115,043","3,181",6/28/2013
Heat (1987),NCeV,"$2,793,214",863,"$1,354,375",863,3/13/1987
Heat and Dust,Uni.,"$1,741,435",n/a,n/a,n/a,9/15/1983
Heathcliff: The Movie,Atl,"$2,610,686",n/a,n/a,n/a,1/17/1986
Heathers,NW,"$1,108,462",54,"$177,247",35,3/31/1989
Heaven,Mira.,"$784,399",38,"$51,909",4,10/4/2002
Heaven,Mira.,"$2,838",1,"$1,983",1,4/30/1999
Heaven,Isld,"$77,886",n/a,n/a,n/a,4/17/1987
Heaven and Earth,WB,"$5,864,949",781,"$379,807",63,12/25/1993
Heaven Can Wait (1943),Fox,n/a,n/a,n/a,n/a,8/11/1943
Heaven Can Wait (1978),Par.,"$81,640,278",540,"$3,652,486",540,6/28/1978
Heaven Help Us,MGM,"$6,070,794","1,003","$2,235,687","1,003",2/8/1985
Heaven is for Real,TriS,"$91,443,253","3,048","$22,522,221","2,417",4/16/2014
Heaven Knows What,RTWC,"$80,734",14,"$16,862",2,5/29/2015
Heaven's Gate,UA,"$3,484,331",n/a,n/a,n/a,11/19/1980
Heaven's Prisoners,NL,"$5,009,305",907,"$2,308,797",907,5/17/1996
Heavenly Bodies,MGM,"$1,839,623","1,504","$1,114,635","1,504",2/1/1985
Heavenly Creatures,Mira.,"$3,049,135",57,"$31,592",2,11/16/1994
The Heavenly Kid,Orion,"$3,852,271","1,019","$1,614,225","1,019",7/26/1985
Heavy,Lions,"$941,414",22,"$14,425",1,6/5/1996
Heavy Metal (re-issue),Sony,"$546,545",54,n/a,n/a,3/8/1996
Heavy Metal in Baghdad,ArtsA,"$4,070",2,"$2,012",2,5/23/2008
Heavy Petting,Skou,"$272,371",11,"$69,007",10,9/22/1989
Heavyweights,BV,"$17,689,177","1,953","$6,062,857","1,953",2/17/1995
The Hebrew Hammer,Strand,"$82,157",8,"$19,539",8,12/19/2003
Hecho En Mexico,LGF,"$151,133",26,"$76,123",12,11/30/2012
Hector And The Search For Happiness,Rela.,"$1,124,445",183,"$40,847",4,9/19/2014
The Hedgehog,NeoC,"$707,945",40,"$39,276",6,8/19/2011
Hedwig and the Angry Inch,FL,"$3,067,312",101,"$156,724",9,7/20/2001
Heidi Fleiss: Hollywood Madame,InP,"$34,402",2,"$14,321",2,2/9/1996
Heidi's Song,Par.,"$5,124,391",982,"$1,416,713",982,11/19/1982
Heights,SPC,"$1,160,817",66,"$52,885",7,6/17/2005
The Heir Apparent: Largo Winch,MBox,"$10,352",4,"$2,830",4,11/18/2011
