Title,Studio,Total Gross,Total Theaters,Opening,Opening Theaters,open
The 22nd Tournee of Animation,EXPe,"$768,304",n/a,n/a,n/a,3/30/1990
23 Blast,OAE,"$549,185",617,"$337,091",617,10/24/2014
The 23rd Tournee of Animation,EXPe,"$862,309",n/a,n/a,n/a,8/23/1991
24 (2016),Eros,n/a,n/a,n/a,n/a,TBD
24 City,CGld,"$30,800",2,"$6,082",1,6/5/2009
24 Hour Party People,MGM,"$1,184,096",37,"$34,940",2,8/9/2002
The 24-Hour Woman,Art.,"$109,535",30,"$21,399",1,1/29/1999
The 24th Day,Scre.,"$14,460",1,"$2,001",1,5/14/2004
The 24th Tournee of Animation,EXPe,"$1,012,881",n/a,n/a,n/a,9/17/1993
25th Hour,BV,"$13,084,595",495,"$108,865",5,12/19/2002
27 Dresses,Fox,"$76,808,654","3,074","$23,007,725","3,057",1/18/2008
28 Days,Sony,"$37,170,488","2,523","$10,310,672","2,523",4/14/2000
28 Days Later,FoxS,"$45,064,915*","1,407","$10,061,858","1,260",6/27/2003
28 Days Later (Secret Cinema),N/A,n/a*,n/a,n/a,n/a,TBD
28 Hotel Rooms,Osci.,"$18,869",5,"$1,869",1,11/9/2012
28 Weeks Later,FoxA,"$28,638,916","2,305","$9,807,292","2,303",5/11/2007
29th Street,Fox,"$2,120,564",131,"$431,660",131,11/1/1991
2by4,Strand,"$17,162",1,"$8,163",1,11/26/1999
The 2nd Animation Celebration,EXPe,"$1,487,606",n/a,n/a,n/a,7/27/1989
3 (2011),Strand,"$59,954",6,"$9,821",4,9/16/2011
"3 1/2 Minutes, 10 Bullets",Part.,"$30,407",8,"$2,238",1,6/19/2015
3 Backyards,Scre.,"$43,073",3,"$11,332",1,3/11/2011
3 Days to Kill,Rela.,"$30,697,999","2,872","$12,242,218","2,872",2/21/2014
3 Geezers!,N/A,"$4,175",15,"$1,372",15,5/22/2013
3 Godfathers,MGM,n/a,n/a,n/a,n/a,12/1/1948
3 Hearts,Cohen,"$164,992",29,"$11,794",1,3/13/2015
3 Idiots,Relbig.,"$6,532,874",156,"$1,645,502",119,12/23/2009
3 Needles,Wlfe.,n/a,7,n/a,7,12/1/2006
3 Nights in the Desert,Mont.,"$1,297",2,$234,2,2/6/2015
3 Ninjas,BV,"$29,000,301","1,954","$5,888,920","1,912",8/7/1992
3 Ninjas Kick Back,TriS,"$11,798,854","2,043","$3,556,310","2,038",5/6/1994
3 Ninjas Knuckle Up,Sony,"$413,479",52,"$67,789",52,3/10/1995
3 Ninjas: High Noon at Mega Mountain,Sony,"$375,805",120,"$150,127",120,4/10/1998
The 3 Rooms of Melancholia,Icar.,"$19,317",2,"$5,025",1,7/29/2005
3 Strikes,MGM,"$9,832,166",678,"$3,684,704",678,3/3/2000
