studio,genres,num_voted_users,num_user_for_reviews,imdb_score,aspect_ratio,movie_facebook_likes,Type,Year,Runtime,Budget,budget.diff,Revenue,Actor1,Actor2,Actor3,Actor4,Actor5,Actor6
Focus,Action,57674,126,6.5,2.35,11000,PG13,2015,116,26000000,-16177171.7,30523226,2,2,4,2,5,5
Uni.,Comedy,60926,302,6.4,1.85,23000,PG13,2016,106,22000000,-36895023.74,63229796,2,2,1,4,2,2
Wein.,Adventure,885175,1527,8.3,2.35,42000,R,2009,153,70000000,29698754.96,319131050,2,3,4,4,2,2
WB,Adventure,582917,1885,7.8,2.35,147000,PG13,2013,91,105000000,60795466.71,716392705,2,2,2,2,4,4
Sony,Action,321227,1067,6.7,2.35,41000,PG13,2014,142,200000000,158357932.4,705717432,2,3,2,2,4,2
Col.,Crime,1689764,4144,9.3,1.85,108000,R,1994,142,25000000,-3472296.88,28341469,2,2,1,2,2,5
BV,Adventure,692482,866,8.2,1.85,11000,G,2003,100,94000000,49940108.04,864625978,2,3,4,2,2,4
WB,Comedy,114294,187,6.3,2.35,12000,R,2014,108,42000000,357932.39,106645357,2,2,2,2,4,2
BV,Action,252257,634,7,2.35,89000,PG,2014,97,180000000,138357932.4,758410378,2,1,2,2,4,2
LGF,Action,47320,188,5.5,2.35,12000,R,2015,106,60000000,17822828.3,30418560,2,2,2,4,2,2
Uni.,Animation,385943,296,7.7,1.85,31000,PG,2010,95,69000000,25576254.59,543513985,2,2,2,2,2,2
Sony,Action,522030,1498,7.8,2.35,80000,PG13,2012,143,200000000,157417764.9,1108561013,2,2,2,4,2,3
BV,Drama,178118,355,7.6,2.35,55000,PG13,2015,141,40000000,-2177171.7,165478348,2,3,2,2,2,2
BV,Animation,473887,626,8,2.35,10000,G,2007,111,150000000,110615497.1,623722818,4,3,2,2,4,2
Sony,Adventure,403014,289,7.3,1.85,0,PG13,1997,98,90000000,46931143.78,589390539,2,2,2,2,4,2
Sony,Action,330784,1243,6.7,2.35,0,PG13,2008,106,200000000,159036490.2,586090727,2,2,2,2,2,4
Uni.,Comedy,216581,397,6.4,2.35,21000,R,2014,96,18000000,-23642067.61,268157400,2,2,1,4,5,2
Uni.,Animation,286877,284,7.5,1.85,56000,PG,2013,98,76000000,31795466.71,970761885,2,3,4,4,2,2
Par.,Action,661017,771,8.5,2.35,16000,PG,1981,115,18000000,7180555.56,389925971,2,3,2,4,4,2
Sony,Action,544665,2012,7.3,1.85,5000,PG13,2002,121,139000000,97955704.27,821708551,2,2,2,2,4,2
Par.,Biography,182983,374,7.8,2.35,99000,R,2015,130,28000000,-14177171.7,133346506,2,2,2,2,2,1
Par.,Action,365104,512,7.4,2.35,35000,PG13,2011,133,145000000,105750896.7,694713380,2,3,2,2,4,4
BV,Action,522040,1832,7.3,2.35,5000,PG13,2006,151,200000000,162105274.3,1065659812,2,2,2,4,2,3
PicH,Drama,467234,1083,8.2,1.85,27000,R,2006,118,19000000,-18894725.68,83258226,1,3,3,4,5,5
WB,Action,548573,2536,7.2,2.35,118000,PG13,2013,143,225000000,180795466.7,662845518,2,3,2,4,2,4
Fox,Action,290949,629,7.8,1.85,13000,R,1987,107,18000000,4839999.87,98235548,2,3,4,4,4,2
WB,Action,269033,817,7.6,1.85,12000,PG13,1989,126,35000000,16333530.35,411348924,2,1,2,2,2,4
Fox,Adventure,328159,467,7.6,1.85,3000,PG,2002,81,59000000,17955704.27,383257136,4,3,2,4,2,2
Fox,Horror,563827,1110,8.5,2.35,23000,R,1979,117,11000000,-3147222.22,104931801,1,3,1,2,5,5
Uni.,Action,38983,207,5.4,2.35,11000,R,2015,133,70000000,27822828.3,17752940,2,3,2,4,2,2
Orion,Action,600266,692,8.1,1.85,13000,R,1984,108,6400000,-6986511.32,78371200,2,1,4,2,5,5
Fox,Action,128682,657,6.1,2.35,51000,PG13,2014,153,140000000,98357932.39,268031828,2,3,2,4,2,3
Par.,Action,329969,524,7.6,2.35,0,PG,1984,118,28000000,14613488.68,333000000,2,3,4,2,2,4
FoxS,Biography,439176,695,8.1,2.35,83000,R,2013,134,20000000,-24204533.29,187000000,4,3,4,2,2,5
Uni.,Action,407601,849,7.9,2.35,0,PG13,2002,119,60000000,18955704.27,214034224,2,3,2,2,2,4
WB,Action,381148,1106,7,1.85,83000,PG13,2013,131,180000000,135795466.7,407602906,2,3,2,2,4,4
Uni.,Action,117927,501,5.2,2.35,0,PG13,2008,112,145000000,104036490.2,401128639,2,3,2,2,2,2
Fox,Adventure,130272,209,5.9,2.35,2000,PG,2009,105,150000000,109698755,413106170,2,3,2,4,2,4
Par.,Crime,1155770,2238,9.2,1.85,43000,R,1972,175,6000000,3495574.6,245066411,4,3,4,2,2,4
Fox,Action,592582,722,8.2,2.35,25000,R,1988,131,28000000,13706842.11,140767956,2,2,2,4,4,2
DW,Action,982637,2368,8.5,2.35,21000,R,2000,155,103000000,58222477.06,457640427,2,1,2,2,2,2
Par.,Comedy,667983,877,8.1,1.85,18000,PG,1998,103,60000000,16407415.73,264118201,2,4,2,4,2,5
Par.,Action,232187,440,7.4,2.35,47000,PG13,2015,131,150000000,107822828.3,682330139,2,1,2,2,2,4
PDW,Action,307029,360,7.6,2.35,6000,PG,2008,90,130000000,89036490.17,631744560,2,2,2,2,2,2
Fox,Drama,1347461,2968,8.8,2.35,48000,R,1999,139,63000000,20481720.35,100853753,1,2,1,2,2,5
Fox,Action,387632,789,7.1,2.35,0,PG13,2004,115,120000000,76641175.81,347234916,2,2,4,2,2,2
DW,Adventure,266636,385,6.9,1.85,0,PG,2005,86,75000000,34231497.34,532680671,2,1,4,2,4,3
Col.,Comedy,437418,609,8.1,1.85,38000,PG,1993,101,14600000,-7958951.85,70906973,2,3,4,2,5,5
Fox,Comedy,106820,147,6.5,1.85,14000,R,2014,104,17000000,-24642067.61,136621271,1,2,4,2,3,5
FoxS,Adventure,475518,644,8.1,1.37,149000,R,2014,99,30000000,-11642067.61,174600318,2,3,2,2,2,2
