Movie Name,Status,Language,Runtime,Budget,Revenue,8,9,10,11,12,13,14
Tin Man (2007),Released,English,4h 30m,-,-,Zooey Deschanel,Alan Cumming,Neal McDonough,Kathleen Robertson,Raoul Trujillo,Richard Dreyfuss,Full Cast & Crew
The Gate II: Trespassers (1990),Released,English,1h 33m,-,-,Louis Tripp,Simon Reynolds,James Villemaire,Pamela Adlon,Neil Munro,James Kidnie,Full Cast & Crew
Survival Island (2005),Released,English,1h 35m,"$9,000,000.00",-,Billy Zane,Kelly Brook,Juan Pablo Di Pace,Todd Collins,Gabrielle Jourdan,Gary Brockette,Full Cast & Crew
Godzilla vs. The Sea Monster (1966),Released,Japanese,1h 27m,-,-,Akira Takarada,Kumi Mizuno,ChÌ«tarÌ« TÌ«gin,Hideo Sunazuka,TÌ«ru Watanabe,TÌ«ru Ibuki,Full Cast & Crew
Nothing (2003),Released,English,1h 30m,-,-,David Hewlett,Andrew Miller,Gordon Pinsent,Marie-JosÌ©e Croze,Full Cast & Crew,,
Armadillo (2010),Released,Danish,1h 45m,"$1,500,000.00",-,Rasmus,Mads 'Mini',Daniel 'Olby',Kim 'Birkerod',Rasmus 'Munke',Full Cast & Crew,
Gloomy Sunday (1999),Released,German,1h 52m,-,"$585,604.00",Erika MarozsÌÁn,Joachim KrÌ_l,Ben Becker,Stefano Dionisi,AndrÌÁs BÌÁlint,GÌ©za Boros,Full Cast & Crew
Lambert & Stamp (2015),Released,English,2h 0m,-,-,Roger Daltrey,Christopher Stamp,Pete Townshend,Terence Stamp,Full Cast & Crew,,
Lola (1961),Released,English,1h 27m,-,-,Anouk AimÌ©e,Marc Michel,Jacques Harden,Alan Scott,Elina Labourdette,Margo Lion,Full Cast & Crew
Welcome to Dongmakgol (2005),Released,English,2h 13m,$8.00,$31.00,Jung Jae-Young,Seo Jae-kyeong,Ryu Deok-hwan,Steve Taschler,Shin Ha-kyun,Yoo Seung-Mok,Full Cast & Crew
Sometimes They Come Back... Again (1996),Released,English,1h 38m,"$3,000,000.00",-,Michael Gross,Hilary Swank,Alexis Arquette,Bojesse Christopher,Glen Beaudin,Jennifer Elise Cox,Full Cast & Crew
Atlas Shrugged Part II (2012),Released,English,1h 52m,-,-,Samantha Mathis,Jason Beghe,Esai Morales,Patrick Fabian,Kim Rhodes,Richard T. Jones,Full Cast & Crew
"Ator, the Fighting Eagle (1982)",Released,English,1h 38m,-,-,Miles O'Keeffe,Sabrina Siani,Ritza Brown,Edmund Purdom,Dakar,Laura Gemser,Full Cast & Crew
Bleeders (1997),Released,English,1h 29m,"$8,000,000.00",-,Rutger Hauer,Roy Dupuis,Kristin Lehman,Gillian Ferrabee,Pascal Gruselle,Jackie Burroughs,Full Cast & Crew
Damnation Alley (1977),Released,English,1h 31m,"$17,000,000.00",-,Jan-Michael Vincent,George Peppard,Dominique Sanda,Paul Winfield,Jackie Earle Haley,Kip Niven,Full Cast & Crew
The Front Line (2009),Released,Italian,1h 40m,-,-,Riccardo Scamarcio,Giovanna Mezzogiorno,Daniela Tusa,Fabrizio Rongione,Fabrizio Rongione,Full Cast & Crew,
Bana Å_ans Dile (2007),Released,Turkish,-,-,-,€¡smail Hac€±o€Ùlu,Melisa Sozen,Riza Kocaoglu,Volkan Severcan,Full Cast & Crew,,
Guinea Pig 1: Devil's Experiment (1985),Released,Japanese,0h 43m,-,-,Login to Edit Cast & Crew,,,,,,
The Perfect Marriage (2006),Released,English,1h 30m,-,-,Jamie Luner,William R. Moses,James Wilder,Sophie Gendron,Lawrence Dane,Lisa Langlois,Full Cast & Crew
Who Was That Lady? (1960),Released,English,1h 55m,-,-,Tony Curtis,Dean Martin,Janet Leigh,James Whitmore,John McIntire,Barbara Nichols,Full Cast & Crew
James White (2015),Released,English,1h 25m,-,-,Christopher Abbott,Cynthia Nixon,Ron Livingston,Scott Mescudi,David Call,David Cale,Full Cast & Crew
The Reconstruction of William Zero (2015),Released,English,1h 38m,-,-,Conal Byrne,Amy Seimetz,Tim Habeger,Adam Fristoe,Scott Poythress,Lake Roberts,Full Cast & Crew
Rurouni Kenshin: New Kyoto Arc: Cage of Flames (2011),Released,Japanese,0h 46m,-,-,Mayo Suzukaze,YÅÇji Ueda,Miki Fujitani,MÌ¨na Tominaga,Masanori Ikeda,Tomo Sakurai,Full Cast & Crew
Gloria (2013),Released,Spanish,1h 45m,-,"$2,107,925.00",Paulina GarcÌ_a,Sergio HernÌÁndez,Coca Guazzini,Antonia Santa MarÌ_a,Diego Fontecilla,Fabiola Zamora,Full Cast & Crew
Smosh: The Movie (2015),Released,English,1h 24m,-,-,Anthony Padilla,Ian Hecox,Shane Dawson,Mark Edward Fischbach,Jillian Nelson,Brittany Ross,Full Cast & Crew
Physical Evidence (1989),Released,English,1h 39m,-,-,Burt Reynolds,Theresa Russell,Ned Beatty,Kay Lenz,Ted McGinley,Tom O'Brien,Full Cast & Crew
Bloodsucking Bastards (2015),Released,English,1h 24m,-,-,Fran Kranz,Pedro Pascal,Joey Kern,Joel Murray,Emma Fitzpatrick,Yvette Yates,Full Cast & Crew
The False Heart (2012),Post Production,English,1h 45m,-,-,Eva Allenbach,Julia Lena Lippoldt,Beate Korntner,Elke Pusl,Hannes Liebmann,Georg Bonn,Full Cast & Crew
Hubble 3D (2010),Released,English,0h 44m,-,-,Leonardo DiCaprio,Full Cast & Crew,,,,,
A Cold Day in Hell (2011),Released,English,1h 35m,-,-,Ronald Bumgardner,Kimberley Campbell,Debra Carlsen,Karyn Belenke,Kathryn Campbell,Full Cast & Crew,
The Softening of the Egg (1975),Released,Swedish,1h 47m,-,-,GÌ_sta Ekman,Max von Sydow,Birgitta Andersson,Hans Alfredson,BÌ_rje Ahlstedt,Stig Ossian Ericson,Full Cast & Crew
A Knight in Camelot (1998),Released,English,1h 30m,-,-,Whoopi Goldberg,Michael York,Paloma Baeza,Simon Fenton,James Coombes,Robert Addie,Full Cast & Crew
The Dog Who Saved Halloween (2011),Released,English,1h 28m,-,-,Gary Valentine,Dean Cain,Elisa Donovan,Lance Henriksen,Mayim Bialik,Joey Diaz,Full Cast & Crew
Cirque du Soleil: Worlds Away (2012),Released,English,1h 31m,-,"$34,153,101.00",Erica Linz,Igor Zaripov,Matt Gillanders,Jason Berrent,Dallas Barnett,Sophia Elisabeth,Full Cast & Crew
Children of Paradise (1945),Released,French,3h 10m,-,-,Arletty,Jean-Louis Barrault,Pierre Brasseur,MarÌ_a Casares,Marcel Herrand,Louis Salou,Full Cast & Crew
KÌ_Ì_Ì_k Esnaf (2016),Released,Turkish,-,-,-,Gupse Ì_zay,Cengiz Bozkurt,Ibrahim BÌ_yÌ_kak,Zeynep Kocak,Full Cast & Crew,,
Macross Plus (1994),Released,English,1h 55m,-,-,Takumi Yamazaki,UnshÅç Ishizuka,Rica Fukami,Mako HyÅçdÅç,Kenji Utsumi,Megumi Hayashibara,Full Cast & Crew
Quantum Quest: A Cassini Space Odyssey (2012),Released,English,-,-,-,Chris Pine,Amanda Peet,Samuel L. Jackson,Hayden Christensen,James Earl Jones,Sandra Oh,Full Cast & Crew
Project 12: The Bunker (2016),Released,Spanish,1h 37m,-,-,Login to Edit Cast & Crew,,,,,,
In Love and War (1996),Released,English,1h 53m,-,-,Sandra Bullock,Chris O'Donnell,Mackenzie Astin,Margot Steinberg,Alan Bennett,Ingrid Lacey,Full Cast & Crew
Cody the Robosapien (2013),Released,English,1h 26m,-,-,Kim Coates,Penelope Ann Miller,Joaquim de Almeida,David Eigenberg,Full Cast & Crew,,
Bakuman (2015),Released,Japanese,1h 59m,-,-,Takeru Satoh,Ryunosuke Kamiki,Nana Komatsu,Kenta Kiritani,Shota Sometani,Hirofumi Arai,Full Cast & Crew
The Osterman Weekend (1983),Released,English,1h 43m,-,"$6,486,797.00",Rutger Hauer,John Hurt,Craig T. Nelson,Dennis Hopper,Chris Sarandon,Meg Foster,Full Cast & Crew
Code Geass: Akito the Exiled 2: The Wyvern Divided (2013),Released,Japanese,1h 0m,-,-,Miyu Irino,Maaya Sakamoto,Satoshi Hino,Yoshitsugu Matsuoka,YÅçko Hikasa,Keiji Fujiwara,Full Cast & Crew
Dan in Real Life (2007),Released,English,1h 38m,"$25,000,000.00","$68,377,859.00",Steve Carell,Juliette Binoche,Dane Cook,Dianne Wiest,John Mahoney,Emily Blunt,Full Cast & Crew
Checkmate (2015),Released,English,1h 42m,-,-,Danny Glover,Sean Astin,Vinnie Jones,Mischa Barton,Michael ParÌ©,Katrina Law,Full Cast & Crew
Major Dundee (1965),Released,English,2h 3m,"$3,800,000.00",-,Charlton Heston,Richard Harris,Jim Hutton,James Coburn,Michael Anderson Jr.,Senta Berger,Full Cast & Crew
The Shaggy Dog (2006),Released,English,1h 38m,"$50,000,000.00","$61,112,916.00",Tim Allen,Kristin Davis,Danny Glover,Spencer Breslin,Robert Downey Jr.,Zena Grey,Full Cast & Crew
I Kissed a Girl (2015),Released,French,1h 38m,-,-,Pio MarmaÌø,Franck Gastambide,Adrianna Gradziel,Lannick Gautry,Camille Cottin,FrÌ©dÌ©ric Pierrot,Full Cast & Crew
The Accidental Tourist (1988),Released,English,2h 1m,-,-,William Hurt,Kathleen Turner,Geena Davis,Amy Wright,David Ogden Stiers,Ed Begley Jr.,Full Cast & Crew
SNL Presents: A Very Gilly Christmas (2009),Released,English,1h 43m,-,-,Kristen Wiig,Will Ferrell,John Malkovich,Justin Timberlake,Alec Baldwin,Hugh Laurie,Full Cast & Crew
Neapolitan Mystery (1979),Released,Italian,1h 54m,-,-,Marcello Mastroianni,Ornella Muti,Michel Piccoli,Zeudi Araya Cristaldi,Capucine,Peppino De Filippo,Full Cast & Crew
Crystal Fairy & the Magical Cactus (2013),Released,English,1h 38m,-,-,Michael Cera,Gaby Hoffmann,Juan AndrÌ©s Silva,JosÌ© Miguel Silva,AgustÌ_n Silva,SebastiÌÁn Silva,Full Cast & Crew
Calendar Girls (2003),Released,English,1h 48m,"$10,000,000.00","$96,542,059.00",Helen Mirren,Julie Walters,John Alderton,Linda Bassett,Annette Crosbie,Philip Glenister,Full Cast & Crew
Robbery Alla Turca (2005),Released,Turkish,1h 36m,-,-,Haluk Bilginer,Mehmet Ali Erbil,Gamze Ì_zÌ_elik,Birol ÌÏnel,GÌ_lse Birsel,Fatih Akin,Full Cast & Crew
Taris (1931),Released,French,0h 9m,-,-,Jean Taris,Full Cast & Crew,,,,,
Ben 10: Secret of the Omnitrix (2007),Released,English,1h 11m,-,-,Tara Strong,Meagan Smith,Paul Eiding,Steve Blum,Jim Ward,Full Cast & Crew,
Pressure (2015),Released,English,1h 31m,-,-,Danny Huston,Joe Cole,Alan McKenna,Matthew Goode,Ian Pirie,Daisy Lowe,Full Cast & Crew
El Topo (1970),Released,Spanish,2h 5m,"$400,000.00",-,Alejandro Jodorowsky,Brontis Jodorowsky,JosÌ© Legarreta,Alfonso ArÌÁu,JosÌ© Luis FernÌÁndez,David Silva,Full Cast & Crew
Carpool (1996),Released,English,1h 29m,"$17,000,000.00",-,Tom Arnold,David Paymer,Rhea Perlman,Rod Steiger,Kim Coates,Rachael Leigh Cook,Full Cast & Crew
The Crossing II (2015),Released,Mandarin,2h 11m,-,-,Zhang Ziyi,Takeshi Kaneshiro,Song Hye-Kyo,Huang Xiaoming,Tong Dawei,Masami Nagasawa,Full Cast & Crew
Jenny (2016),Released,Indonesian,0h 11m,-,-,Asmara Abigail,Full Cast & Crew,,,,,
The Last Face (2016),Post Production,English,2h 12m,-,-,Charlize Theron,Javier Bardem,AdÌ¬le Exarchopoulos,Jared Harris,Jean Reno,Full Cast & Crew,
Sex In Philippine Cinema 4: SexTravaganza (2007),Released,English,0h 50m,-,-,Login to Edit Cast & Crew,,,,,,
A Streetcar Named Desire (1995),Released,English,2h 36m,-,-,Alec Baldwin,Jessica Lange,John Goodman,Diane Lane,Full Cast & Crew,,
Teheran '43 (1980),Released,Russian,3h 12m,-,-,Natalya Belokhvostikova,Curd JÌ_rgens,Igor Kostolevskiy,Claude Jade,Georges GÌ©ret,Albert Filozov,Full Cast & Crew
The Silence (2010),Released,German,2h 0m,-,-,Ulrich Thomsen,Wotan Wilke MÌ_hring,Katrin Sass,Sebastian Blomberg,Burghart KlauÌÙner,Oliver Stokowski,Full Cast & Crew
Jurassic World: Ancient Futures (2018),Planned,English,-,-,-,Chris Pratt,Bryce Dallas Howard,Full Cast & Crew,,,,
"Pretty Village, Pretty Flame (1996)",Released,Serbian,1h 55m,-,-,Nikola Kojo,Dragan Maksimovi€à,Zoran Cvijanovic,Milorad Mandi€à,Dragan Bjelogrli€à,Nikola Pejakovi€à,Full Cast & Crew
The Long Way Home (2015),Released,Korean,1h 51m,-,-,Sol Kyung-Gu,Yeo Jin-goo,Lee Kyoung-young,Jeong In-Gi,Kim Tae-Hoon,Noh Young-hak,Full Cast & Crew
Harrison Bergeron (1995),Released,English,1h 39m,-,-,Sean Astin,Christopher Plummer,Eugene Levy,Full Cast & Crew,,,
Sappho (2008),Released,English,1h 26m,-,-,Avalon Barrie,Todd Soley,Lyudmila Shiryaeva,Oksana Osipova,Elissaios Vlachos,Full Cast & Crew,
Not Without My Daughter (1991),Released,English,1h 56m,-,-,Sally Field,Alfred Molina,Sheila Rosenthal,Roshan Seth,Sarah Badel,Full Cast & Crew,
Heaven Can Wait (1943),Released,English,1h 52m,-,-,Gene Tierney,Don Ameche,Charles Coburn,Marjorie Main,Laird Cregar,Spring Byington,Full Cast & Crew
I Am Bruce Lee (2012),Released,English,1h 30m,-,-,Bruce Lee,Linda Lee Cadwell,Shannon Lee,Dan Inosanto,Diana Lee Inosanto,Kobe Bryant,Full Cast & Crew
Adventures of Mowgli (1973),Released,Russian,1h 30m,-,-,Stepan Bubnov,Lyudmila Kasatkina,Anatoli Papanov,Sergei Martinson,Aleksandr Nazarov,Lev Lyubetsky,Full Cast & Crew
Traveller (1997),Released,English,1h 41m,-,-,Bill Paxton,Mark Wahlberg,Julianna Margulies,James Gammon,Nikki DeLoach,Luke Askew,Full Cast & Crew
The Man (2005),Released,English,1h 23m,-,"$12,382,362.00",Samuel L. Jackson,Eugene Levy,Luke Goss,Miguel Ferrer,Susie Essman,Anthony Mackie,Full Cast & Crew
Tom and Jerry's Giant Adventure (2013),Released,English,1h 6m,-,-,Garrison Keillor,Paul Reubens,Grey Griffin,Jacob Bertrand,Thomas F. Wilson,Full Cast & Crew,
The Slammin' Salmon (2009),Released,English,1h 30m,-,-,Michael Clarke Duncan,Jay Chandrasekhar,Kevin Heffernan,Steve Lemme,Erik Stolhanske,Paul Soter,Full Cast & Crew
Splinter Cell (2017),In Production,English,-,-,-,Tom Hardy,Full Cast & Crew,,,,,
Consenting Adults (1992),Released,English,1h 39m,"$18,000,000.00","$21,591,728.00",Kevin Kline,Mary Elizabeth Mastrantonio,Kevin Spacey,Rebecca Miller,Forest Whitaker,E.G. Marshall,Full Cast & Crew
Tetsuo II: Body Hammer (1992),Released,English,1h 23m,-,-,Tomorowo Taguchi,Shinya Tsukamoto,Nobu Kanaoka,Sujin Kim,Hideaki Tezuka,Tomoo Asada,Full Cast & Crew
Category 7: The End of the World (2005),Released,English,2h 49m,-,-,Gina Gershon,Shannen Doherty,Randy Quaid,Robert Wagner,Peter Mooney,Full Cast & Crew,
Coach (2010),Released,English,-,-,-,Liane Balaban,James Biberi,Hugh Dancy,Gillian Jacobs,Mamie Gummer,Benjamin Walker,Full Cast & Crew
The Sixth Man (1997),Released,English,1h 47m,-,-,Marlon Wayans,Kadeem Hardison,David Paymer,Saundra McClain,Harold Sylvester,Kevin Dunn,Full Cast & Crew
Interview with a Hitman (2012),Released,English,1h 35m,-,-,Luke Goss,Caroline Tillette,Stephen Marcus,Danny Midwinter,Full Cast & Crew,,
Dante 01 (2008),Released,English,1h 22m,"$8,000,000.00",-,Lambert Wilson,Linh €êan Ph‡_Ám,Simona Maicanescu,Dominique Pinon,Bruno Lochet,FranÌ_ois Levantal,Full Cast & Crew
Batman Beyond: The Movie (1999),Released,English,2h 12m,-,-,Will Friedle,Kevin Conroy,Michael Ansara,Linda Hamilton,Sherman Howard,Teri Garr,Full Cast & Crew
The Devil's Hand (2014),Released,English,1h 26m,"$7,000,000.00",-,Rufus Sewell,Alycia Debnam-Carey,Adelaide Kane,Leah Pipes,Thomas McDonell,Jennifer Carpenter,Full Cast & Crew
Stardust Memories (1980),Released,English,1h 31m,"$10,000,000.00","$10,389,003.00",Woody Allen,Charlotte Rampling,Jessica Harper,Marie-Christine Barrault,Tony Roberts,Daniel Stern,Full Cast & Crew
Rosalie Blum (2016),Released,French,1h 37m,-,-,NoÌ©mie Lvovsky,Kyan Khojandi,Alice Isaaz,AnÌ©mone,Philippe Rebbot,Sara Giraudeau,Full Cast & Crew
The Master and Margarita (1994),Released,English,2h 8m,-,-,Anastasiya Vertinskaya,Viktor Rakov,Valentin Gaft,Mikhail Ulyanov,Nikolay Burlyaev,Sergey Garmash,Full Cast & Crew
Robot Chicken: Star Wars (2007),Released,English,0h 23m,-,-,Candace Bailey,Bob Bergen,Ahmed Best,Seth Green,Abraham Benrubi,Mark Hamill,Full Cast & Crew
Spy School (2008),Released,English,1h 26m,-,-,Forrest Landis,AnnaSophia Robb,Rider Strong,Lea Thompson,Roger Bart,Timmy Deters,Full Cast & Crew
The Hoarder (2015),Released,English,1h 26m,-,-,Mischa Barton,Robert Knepper,Emily Atack,Andrew Buckley,Valene Kane,John Sackville,Full Cast & Crew
Doraemon: Nobita's Secret Gadget Museum (2013),Released,Japanese,1h 44m,-,-,Yumi Kakazu,Subaru Kimura,Tomokazu Seki,Wasabi Mizuta,Megumi Oohara,Full Cast & Crew,
Courageous (2011),Released,English,2h 9m,"$1,000,000.00","$34,522,221.00",Alex Kendrick,Ken Bevel,Ben Davies,Kevin Downes,Rusty Martin,T.C. Stallings,Full Cast & Crew
Spermula (1976),Released,English,1h 43m,-,-,Dayle Haddon,Udo Kier,FranÌ_ois Dunoyer,Jocelyne Boisseau,Ginette Leclerc,Isabelle Mercanton,Full Cast & Crew
The Curse of King Tut's Tomb (2006),Released,English,2h 50m,"$14,000,000.00",-,Casper Van Dien,Leonor Varela,Malcolm McDowell,Full Cast & Crew,,,
Leprechaun 2 (1994),Released,English,1h 25m,"$2,000,000.00","$2,260,622.00",Warwick Davis,Charlie Heath,Shevonne Durkin,Sandy Baron,Clint Howard,Adam Biesk,Full Cast & Crew
Cosmic Voyage (1996),Released,English,0h 36m,-,-,Morgan Freeman,Full Cast & Crew,,,,,
Nea (1976),Released,French,1h 43m,-,-,Sami Frey,Ann Zacharias,FranÌ_oise Brion,Micheline Presle,Heinz Bennent,Ingrid Caven,Full Cast & Crew
Reno 911!: Miami (2007),Released,English,1h 24m,"$10,000,000.00","$20,342,161.00",Lennie Loftin,Danny DeVito,Ben Garant,Carlos Alazraqui,Mary Birdsong,Niecy Nash,Full Cast & Crew
Love Is the Devil: Study for a Portrait of Francis Bacon (1998),Released,English,1h 30m,-,-,Derek Jacobi,Daniel Craig,Tilda Swinton,Anne Lambton,Adrian Scarborough,Karl Johnson,Full Cast & Crew
The Last Ride (2004),Released,English,1h 24m,-,-,Will Patton,Fred Ward,Dennis Hopper,Full Cast & Crew,,,
The Vault of Horror (1973),Released,English,1h 23m,-,-,Anna Massey,Terry-Thomas,Glynis Johns,John Forbes-Robertson,Curd JÌ_rgens,Dawn Addams,Full Cast & Crew
The Fourth Protocol (1987),Released,English,1h 59m,-,-,Michael Caine,Pierce Brosnan,Ray McAnally,Ned Beatty,Joanna Cassidy,Julian Glover,Full Cast & Crew
"I, Anna (2012)",Released,English,1h 33m,-,-,Charlotte Rampling,Gabriel Byrne,Hayley Atwell,Eddie Marsan,Jodhi May,Ralph Brown,Full Cast & Crew
Mrs Henderson Presents (2005),Released,English,1h 43m,-,-,Judi Dench,Bob Hoskins,Will Young,Christopher Guest,Kelly Reilly,Thelma Barlow,Full Cast & Crew
Hallelujah! (2009),Released,French,1h 31m,-,-,Jean-Marie Bigard,David Strajmayster,Thiam AÌøssatou,Jean Dell,Michel Chesneau,Benjamin Feitelson,Full Cast & Crew
Airline Disaster (2010),Released,English,1h 29m,-,-,Meredith Baxter,Lindsey McKeon,Scott Valentine,Geoff Meed,Jude Gerard Prest,Matt Lagan,Full Cast & Crew
The Punishment (1973),Released,German,1h 35m,-,-,Karin Schubert,Georges GÌ©ret,Claudie Lange,Marcel Dalio,Anne Jolivet,FranÌ_ois Leccia,Full Cast & Crew
Alone With Her (2006),Released,English,1h 18m,"$1,000,000.00","$10,018.00",Colin Hanks,Ana Claudia TalancÌ_n,Jordana Spiro,Jonathon Trent,Alex Boling,Tony Armatrading,Full Cast & Crew
Eye of the Needle (1981),Released,English,1h 52m,-,"$18,000,000.00",Donald Sutherland,Kate Nelligan,Stephen MacKenna,Christopher Cazenove,Philip Martin Brown,Ian Bannen,Full Cast & Crew
Mogambo (1953),Released,English,1h 55m,-,-,Clark Gable,Ava Gardner,Grace Kelly,Donald Sinden,Philip Stainton,Eric Pohlmann,Full Cast & Crew
The Ultimate Warrior (1975),Released,English,1h 34m,-,-,Yul Brynner,Max von Sydow,Joanna Miles,William Smith,Richard Kelton,Stephen McHattie,Full Cast & Crew
Swann in Love (1984),Released,English,1h 50m,-,-,Jeremy Irons,Ornella Muti,Alain Delon,Fanny Ardant,Marie-Christine Barrault,Anne Bennent,Full Cast & Crew
The Foreigner (2016),In Production,English,-,-,-,Jackie Chan,Pierce Brosnan,Full Cast & Crew,,,,
Deceived (1991),Released,English,1h 44m,-,-,Goldie Hawn,John Heard,Tom Irwin,Kate Reid,Robin Bartlett,Francesca Buller,Full Cast & Crew
Panic in the Mailroom (2013),Released,English,0h 5m,-,-,Pierre Coffin,Full Cast & Crew,,,,,
Tag (2015),Released,Japanese,1h 25m,-,-,Reina Triendl,Mariko Shinoda,Erina Mano,Yuki Sakurai,Maryjun Takahashi,Sayaka Isoyama,Full Cast & Crew
Cadillac Man (1990),Released,English,1h 37m,-,"$27,575,086.00",Robin Williams,Tim Robbins,Pamela Reed,Fran Drescher,Zack Norman,Lauren Tom,Full Cast & Crew
1914 the Glorious Summer (1996),Released,English,1h 57m,-,-,Claude Rich,Maria PacÌ«me,Hippolyte Girardot,Philippe Torreton,Full Cast & Crew,,
Margarita (2016),Released,Spanish,1h 30m,-,-,Francisca Aronsson,Giovanni Ciccia,Melania Urbina,CÌ©sar Ritter,Vanessa Saba,Maria Grazia Gamarra,Full Cast & Crew
"Feyzo, the Polite One (1978)",Released,Turkish,1h 40m,-,-,Kemal Sunal,Å_ener Å_en,€¡lyas Salman,Adile NaÅÙit,Erdal Ì_zya€Ùc€±lar,Ihsan YÌ_ce,Full Cast & Crew
The Matrix Reloaded Revisited (2004),Released,English,2h 56m,-,-,Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,Hugo Weaving,Full Cast & Crew,,
Greetings to the Devil (2011),Released,German,1h 30m,-,-,Edgar RamÌ_rez,Carolina GÌ_mez,Ricardo VÌ©lez,Salvador del Solar,Patrick Delmas,MarÌ_a Luna BeltrÌÁn,Full Cast & Crew
Goddess (2013),Released,English,1h 45m,$114.00,-,Laura Michelle Kelly,Ronan Keating,Magda Szubanski,Dustin Clare,Hugo Johnstone-Burt,Tamsin Carroll,Full Cast & Crew
Omega Doom (1996),Released,English,1h 24m,-,-,Rutger Hauer,Shannon Whirry,Norbert Weisser,Tina Cote,Anna Katarina,Jill Pierce,Full Cast & Crew
Terkel in Trouble (2004),Released,Danish,1h 17m,-,-,Anders Matthesen,Kim Mattheson,Anders Matthesen,Anders Matthesen,Full Cast & Crew,,
Garm Wars: The Last Druid (2014),Released,English,1h 32m,-,-,Lance Henriksen,Kevin Durand,MÌ©lanie St-Pierre,Summer H. Howell,Andrew Gillies,Dawn Ford,Full Cast & Crew
Mercy (2009),Released,English,1h 27m,-,-,Scott Caan,Dylan McDermott,Erika Christensen,James Caan,Whitney Able,Bre Blair,Full Cast & Crew
The True Story of Puss 'n Boots (2009),Released,English,1h 22m,-,-,JÌ©rÌ«me Deschamps,Yolande Moreau,Louise Wallon,Arthur Deschamps,Jean-Claude Bolle-Reddat,Full Cast & Crew,
Thunder at the Border (1966),Released,German,1h 38m,-,-,Rod Cameron,Pierre Brice,Marie Versini,Todd Armstrong,Harald Leipnitz,Viktor de Kowa,Full Cast & Crew
P.S. (2004),Released,English,1h 37m,-,-,Laura Linney,Gabriel Byrne,Lois Smith,Paul Rudd,Topher Grace,Becki Newton,Full Cast & Crew
Gettysburg (2011),Released,German,1h 26m,-,-,Josh Artis,Greg Berg,Anton Blake,Charles Klausmeyer,AndrÌ© Sogliuzzo,Stephen Jenning,Full Cast & Crew
Sister (2012),Released,English,1h 40m,-,-,Kacey Mottet Klein,LÌ©a Seydoux,Martin Compston,Gillian Anderson,Jean-FranÌ_ois StÌ©venin,Yann TrÌ©gouÌÇt,Full Cast & Crew
Fairy Tail the Movie: Phoenix Priestess (2012),Released,English,1h 26m,-,-,Aya Endo,Rie Kugimiya,Yuichi Nakamura,Aya Hirano,Satomi Satou,Mika Kanai,Full Cast & Crew
The Haunted World of El Superbeasto (2009),Released,English,1h 17m,-,-,Rosario Dawson,Danny Trejo,Sheri Moon Zombie,Paul Giamatti,Cassandra Peterson,Dee Wallace,Full Cast & Crew
Android Apocalypse (2006),Released,English,1h 35m,"$1,000,000.00",-,Wendy Anderson,Scott Bairstow,Shannon Jardine,Joey Lawrence,Amy Matysio,Darla Middlebrook,Full Cast & Crew
Bullying (2009),Released,English,1h 35m,-,-,Albert CarbÌ_,Joan Carles Suau,Carlos Fuentes,Laura Conejero,Yohana Cobo,Montse Mostaza,Full Cast & Crew
Say Anything... (1989),Released,English,1h 40m,-,"$20,036,737.00",John Cusack,Ione Skye,John Mahoney,Lili Taylor,Amy Brooks,Pamela Adlon,Full Cast & Crew
Love in Thoughts (2004),Released,German,1h 29m,-,-,Daniel BrÌ_hl,August Diehl,Anna Maria MÌ_he,Jana Pallaske,Thure Lindhardt,Verena Bukal,Full Cast & Crew
Good Kids (2016),Post Production,English,-,-,-,Zoey Deutch,Ashley Judd,Virginia Gardner,Julia Garner,Randy Couture,Nicholas Braun,Full Cast & Crew
Newsmakers (2009),Released,English,1h 47m,"$4,000,000.00",-,Andrey Merzlikin,Yevgeni Tsyganov,Maria Mashkova,Sergey Garmash,Maksim Konovalov,Aleksey Frandetti,Full Cast & Crew
Veeram: Macbeth (2016),Released,Hindi,1h 40m,-,-,Kunal Kapoor,Himarsha Venkatsamy,Full Cast & Crew,,,,
3 Women (1977),Released,English,2h 4m,"$1,500,000.00",-,Shelley Duvall,Sissy Spacek,Janice Rule,Robert Fortier,Ruth Nelson,John Cromwell,Full Cast & Crew
The Vampire Lovers (1970),Released,English,1h 31m,-,-,Ingrid Pitt,Peter Cushing,George Cole,Kate O'Mara,Ferdy Mayne,Douglas Wilmer,Full Cast & Crew
Elsewhere (2009),Released,English,1h 40m,"$500,000.00",-,Anna Kendrick,Paul Wesley,Tania Raymonde,Olivia Dawn York,Jeff Daniel Phillips,Shannon Holt,Full Cast & Crew
One Night with the King (2006),Released,English,2h 3m,"$20,000,000.00","$13,391,174.00",Tiffany Dupont,Peter O'Toole,Luke Goss,John Noble,Omar Sharif,John Rhys-Davies,Full Cast & Crew
Donner Pass (2012),Released,English,1h 30m,"$300,000.00",-,Desiree Hall,Erik Stocklin,Adelaide Kane,Krystal Davis,Full Cast & Crew,,
Lady Bloodfight (2015),In Production,English,-,-,-,Amy Johnston,Jenny Wu,Muriel Hofmann,Kathy Wu,Sharon Zhang,Lauren Rhoden,Full Cast & Crew
