Movie Name,Status,Language,Runtime,Budget,Revenue,8,9,10,11,12,13,14
The Magnificent Seven (2016),Released,English,2h 12m,-,-,Chris Pratt,Denzel Washington,Matt Bomer,Ethan Hawke,Vincent D'Onofrio,Lee Byung-hun,Full Cast & Crew
All About Anna (2005),Released,English,1h 31m,-,-,Gry Bay,Adrian Bouchet,Eileen Daly,Thomas Raft,Ovidie,Thomas Lundy,Full Cast & Crew
Independence Day: Resurgence (2016),Released,English,2h 0m,"$200,000,000.00","$143,093,317.00",Liam Hemsworth,Jeff Goldblum,Bill Pullman,Maika Monroe,Sela Ward,William Fichtner,Full Cast & Crew
The Legend of Tarzan (2016),Released,English,1h 49m,"$180,000,000.00",-,Alexander SkarsgÌ´rd,Margot Robbie,Christoph Waltz,Samuel L. Jackson,Djimon Hounsou,Simon Russell Beale,Full Cast & Crew
John Wick (2014),Released,English,1h 41m,"$20,000,000.00","$78,739,897.00",Keanu Reeves,Michael Nyqvist,Alfie Allen,Willem Dafoe,Dean Winters,Adrianne Palicki,Full Cast & Crew
Avengers: Age of Ultron (2015),Released,English,2h 21m,"$250,000,000.00","$1,405,035,767.00",Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,Chris Evans,Scarlett Johansson,Jeremy Renner,Full Cast & Crew
Chappie (2015),Released,English,2h 0m,"$49,000,000.00","$102,069,268.00",Sharlto Copley,Dev Patel,Ninja,Yolandi Visser,Jose Pablo Cantillo,Hugh Jackman,Full Cast & Crew
Batman Begins (2005),Released,English,2h 20m,"$150,000,000.00","$374,218,673.00",Christian Bale,Michael Caine,Liam Neeson,Katie Holmes,Gary Oldman,Cillian Murphy,Full Cast & Crew
War Dogs (2016),Released,English,1h 54m,-,-,Miles Teller,Jonah Hill,Ana de Armas,Barry Livingston,Brenda Koo,Jeff Pierre,Full Cast & Crew
Emerald Green (2016),Released,German,1h 53m,-,-,Maria Ehrich,Jannis NiewÌ_hner,Peter Simonischek,Josefine PreuÌÙ,Florian BartholomÌ_i,Laura Berlin,Full Cast & Crew
X-Men: Days of Future Past (2014),Released,English,2h 11m,"$250,000,000.00","$746,000,000.00",Hugh Jackman,James McAvoy,Patrick Stewart,Michael Fassbender,Ian McKellen,Jennifer Lawrence,Full Cast & Crew
The Hunger Games: Catching Fire (2013),Released,English,2h 26m,"$130,000,000.00","$847,423,452.00",Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,Woody Harrelson,Elizabeth Banks,Lenny Kravitz,Full Cast & Crew
