Movie Name,Studio,Status,Language,Runtime,Budget,Revenue,8,9,10,11,12,13,14
Zootopia (2016),BV,Released,English,1h 48m,"$150,000,000.00","$1,016,556,108.00",Ginnifer Goodwin,Jason Bateman,Shakira,Idris Elba,Octavia Spencer,J.K. Simmons,Full Cast & Crew
The Hunger Games: Mockingjay - Part 1 (2014),LGF,Released,English,2h 3m,"$125,000,000.00","$752,100,229.00",Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,Woody Harrelson,Donald Sutherland,Philip Seymour Hoffman,Full Cast & Crew
The Secret Life of Pets (2016),Uni.,Released,English,1h 27m,"$75,000,000.00","$342,472,030.00",Louis C.K.,Eric Stonestreet,Kevin Hart,Jenny Slate,Lake Bell,Bobby Moynihan,Full Cast & Crew
The Angry Birds Movie (2016),Sony,Released,English,1h 35m,"$73,000,000.00","$346,450,645.00",Jason Sudeikis,Josh Gad,Danny McBride,Maya Rudolph,Bill Hader,Peter Dinklage,Full Cast & Crew
Minions (2015),Uni.,Released,English,1h 31m,"$74,000,000.00","$1,156,730,962.00",Sandra Bullock,Jon Hamm,Michael Keaton,Allison Janney,Steve Coogan,Jennifer Saunders,Full Cast & Crew
The Huntsman: Winter's War (2016),Uni.,Released,English,1h 54m,"$115,000,000.00","$164,602,163.00",Chris Hemsworth,Charlize Theron,Emily Blunt,Jessica Chastain,Nick Frost,Sheridan Smith,Full Cast & Crew
The Martian (2015),Fox,Released,English,2h 21m,"$108,000,000.00","$595,380,321.00",Matt Damon,Jessica Chastain,Kristen Wiig,Jeff Daniels,Michael PeÌ±a,Sean Bean,Full Cast & Crew
Gone Girl (2014),Fox,Released,English,2h 25m,"$61,000,000.00","$369,330,363.00",Ben Affleck,Rosamund Pike,Tyler Perry,Neil Patrick Harris,Missi Pyle,Patrick Fugit,Full Cast & Crew
The Imitation Game (2014),Wein.,Released,English,1h 53m,"$14,000,000.00","$233,555,708.00",Benedict Cumberbatch,Keira Knightley,Matthew Goode,Rory Kinnear,Allen Leech,Matthew Beard,Full Cast & Crew
Star Wars: The Force Awakens (2015),BV,Released,English,2h 16m,"$200,000,000.00","$2,068,178,225.00",Daisy Ridley,John Boyega,Adam Driver,Harrison Ford,Carrie Fisher,Oscar Isaac,Full Cast & Crew
Guardians of the Galaxy (2014),BV,Released,English,2h 1m,"$170,000,000.00","$773,312,399.00",Chris Pratt,Zoe Saldana,Dave Bautista,Vin Diesel,Bradley Cooper,Lee Pace,Full Cast & Crew
The Maze Runner (2014),Fox,Released,English,1h 53m,"$34,000,000.00","$348,319,861.00",Dylan O'Brien,Aml Ameen,Ki Hong Lee,Blake Cooper,Thomas Brodie-Sangster,Will Poulter,Full Cast & Crew
The Conjuring 2 (2016),WB (NL),Released,English,2h 14m,"$40,000,000.00","$315,816,419.00",Patrick Wilson,Vera Farmiga,Madison Wolfe,Frances O'Connor,Simon McBurney,Maria Doyle Kennedy,Full Cast & Crew
Pixels (2015),Sony,Released,English,1h 45m,"$88,000,000.00","$243,637,091.00",Adam Sandler,Michelle Monaghan,Peter Dinklage,Josh Gad,Kevin James,Ashley Benson,Full Cast & Crew
San Andreas (2015),WB (NL),Released,English,1h 54m,"$110,000,000.00","$470,490,832.00",Alexandra Daddario,Dwayne Johnson,Carla Gugino,Archie Panjabi,Hugo Johnstone-Burt,Art Parkinson,Full Cast & Crew
Jason Bourne (2016),Uni.,Released,English,2h 3m,"$120,000,000.00","$254,351,812.00",Matt Damon,Tommy Lee Jones,Alicia Vikander,Vincent Cassel,Julia Stiles,Riz Ahmed,Full Cast & Crew
Now You See Me (2013),LG/S,Released,English,1h 55m,"$75,000,000.00","$117,698,894.00",Jesse Eisenberg,Mark Ruffalo,Woody Harrelson,MÌ©lanie Laurent,Isla Fisher,Dave Franco,Full Cast & Crew
Free State of Jones (2016),STX,Released,English,2h 19m,"$65,000,000.00",-,Matthew McConaughey,Gugu Mbatha-Raw,Mahershala Ali,Keri Russell,Jacob Lofland,Sean Bridgers,Full Cast & Crew
